indicator,pitc_reduction_year,test_reduction,scenario,mean,median,upper_CI,lower_CI,future_variability,future_value
ARTcoverageDiagM,2025,50,baseline,36.955966000000004,36.955966000000004,37.02331435000001,36.88861764999999,test_reduction_only,0
ARTcoverageDiagM,2025,50,intervention,36.543752999999995,36.543752999999995,36.561861900000004,36.525644099999994,test_reduction_only,0
ARTcoverageDiagM,2025,50,percent_change,-1.1151517149382486,-1.1151517149382486,-0.9839457989029533,-1.246357630973544,test_reduction_only,0
ARTcoverageDiagM,2025,75,absolute_dif,-0.530243500000001,-0.530243500000001,-0.4560242749999988,-0.6044627250000032,test_reduction_only,0
ARTcoverageDiagM,2025,75,baseline,36.955966000000004,36.955966000000004,37.02331435000001,36.88861764999999,test_reduction_only,0
ARTcoverageDiagM,2025,75,intervention,36.4257225,36.4257225,36.432593374999996,36.418851625,test_reduction_only,0
ARTcoverageDiagM,2025,75,percent_change,-1.434397850068588,-1.434397850068588,-1.2361803776433091,-1.6326153224938673,test_reduction_only,0
ARTcoverageDiagM,2025,100,absolute_dif,-0.5461605000000027,-0.5461605000000027,-0.46574917500000074,-0.6265718250000047,test_reduction_only,0
ARTcoverageDiagM,2025,100,baseline,36.955966000000004,36.955966000000004,37.02331435000001,36.88861764999999,test_reduction_only,0
ARTcoverageDiagM,2025,100,intervention,36.4098055,36.4098055,36.422868475,36.39674252499999,test_reduction_only,0
ARTcoverageDiagM,2025,100,percent_change,-1.4774343518952586,-1.4774343518952586,-1.2625399628765346,-1.6923287409139827,test_reduction_only,0
cost_anc_test_neg,2025,0,absolute_dif,0,0,0,0,test_reduction_only,0
cost_anc_test_neg,2025,0,baseline,309218476.9091438,309218476.9091438,310000918.7416062,308436035.0766814,test_reduction_only,0
cost_anc_test_neg,2025,0,intervention,309218476.9091438,309218476.9091438,310000918.7416062,308436035.0766814,test_reduction_only,0
cost_anc_test_neg,2025,0,percent_change,0,0,0,0,test_reduction_only,0
cost_anc_test_neg,2025,25,absolute_dif,-1067466.8951506317,-1067466.8951506317,-1045210.8757500366,-1089722.914551227,test_reduction_only,0
cost_anc_test_neg,2025,25,baseline,309218476.9091438,309218476.9091438,310000918.7416062,308436035.0766814,test_reduction_only,0
cost_anc_test_neg,2025,25,intervention,308151010.01399314,308151010.01399314,308955707.8658562,307346312.1621301,test_reduction_only,0
cost_anc_test_neg,2025,25,percent_change,-0.3452370892802135,-0.3452370892802135,-0.3371660001726786,-0.3533081783877484,test_reduction_only,0
cost_anc_test_neg,2025,50,absolute_dif,-2422789.5370670855,-2422789.5370670855,-2337411.8616293026,-2508167.2125048684,test_reduction_only,0
cost_anc_test_neg,2025,50,baseline,309218476.9091438,309218476.9091438,310000918.7416062,308436035.0766814,test_reduction_only,0
cost_anc_test_neg,2025,50,intervention,306795687.3720767,306795687.3720767,307663506.8799769,305927867.86417645,test_reduction_only,0
cost_anc_test_neg,2025,50,percent_change,-0.78360327283275,-0.78360327283275,-0.7540096611703208,-0.8131968844951794,test_reduction_only,0
cost_anc_test_neg,2025,75,absolute_dif,-4090230.800185919,-4090230.800185919,-3882280.916432902,-4298180.683938935,test_reduction_only,0
cost_anc_test_neg,2025,75,baseline,309218476.9091438,309218476.9091438,310000918.7416062,308436035.0766814,test_reduction_only,0
cost_anc_test_neg,2025,75,intervention,305128246.1089579,305128246.1089579,306118637.8251733,304137854.3927424,test_reduction_only,0
cost_anc_test_neg,2025,75,percent_change,-1.3229619728753577,-1.3229619728753577,-1.2523642214607469,-1.3935597242899684,test_reduction_only,0
cost_anc_test_neg,2025,100,absolute_dif,-5985453.518790454,-5985453.518790454,-5592630.507866175,-6378276.529714732,test_reduction_only,0
cost_anc_test_neg,2025,100,baseline,309218476.9091438,309218476.9091438,310000918.7416062,308436035.0766814,test_reduction_only,0
cost_anc_test_neg,2025,100,intervention,303233023.3903533,303233023.3903533,304408288.23374003,302057758.5469666,test_reduction_only,0
cost_anc_test_neg,2025,100,percent_change,-1.936041283432239,-1.936041283432239,-1.8041049865144234,-2.067977580350054,test_reduction_only,0
cost_anc_test_pos,2025,0,absolute_dif,0,0,0,0,test_reduction_only,0
cost_anc_test_pos,2025,0,baseline,4763588.60245361,4763588.60245361,4919041.5533737885,4608135.651533431,test_reduction_only,0
cost_anc_test_pos,2025,0,intervention,4763588.60245361,4763588.60245361,4919041.5533737885,4608135.651533431,test_reduction_only,0
cost_anc_test_pos,2025,0,percent_change,0,0,0,0,test_reduction_only,0
cost_anc_test_pos,2025,25,absolute_dif,655859.5538168983,655859.5538168983,690294.3886263557,621424.7190074408,test_reduction_only,0
cost_anc_test_pos,2025,25,baseline,4763588.60245361,4763588.60245361,4919041.5533737885,4608135.651533431,test_reduction_only,0
cost_anc_test_pos,2025,25,intervention,5419448.156270508,5419448.156270508,5609335.942000144,5229560.370540872,test_reduction_only,0
cost_anc_test_pos,2025,25,percent_change,13.758278351671063,13.758278351671063,14.032172388390617,13.484384314951509,test_reduction_only,0
cost_anc_test_pos,2025,50,absolute_dif,1587895.5231181728,1587895.5231181728,1691841.2575769068,1483949.7886594387,test_reduction_only,0
cost_anc_test_pos,2025,50,baseline,4763588.60245361,4763588.60245361,4919041.5533737885,4608135.651533431,test_reduction_only,0
cost_anc_test_pos,2025,50,intervention,6351484.125571783,6351484.125571783,6610882.810950696,6092085.44019287,test_reduction_only,0
cost_anc_test_pos,2025,50,percent_change,33.294403926704355,33.294403926704355,34.3899771472068,32.1988307062019,test_reduction_only,0
cost_anc_test_pos,2025,75,absolute_dif,2895870.3853131537,2895870.3853131537,3136478.323190678,2655262.4474356296,test_reduction_only,0
cost_anc_test_pos,2025,75,baseline,4763588.60245361,4763588.60245361,4919041.5533737885,4608135.651533431,test_reduction_only,0
cost_anc_test_pos,2025,75,intervention,7659458.987766763,7659458.987766763,8055519.876564466,7263398.098969061,test_reduction_only,0
cost_anc_test_pos,2025,75,percent_change,60.68074616768327,60.68074616768327,63.75149680396058,57.60999553140595,test_reduction_only,0
cost_anc_test_pos,2025,100,absolute_dif,4583847.019943881,4583847.019943881,5059284.955599906,4108409.0842878553,test_reduction_only,0
cost_anc_test_pos,2025,100,baseline,4763588.60245361,4763588.60245361,4919041.5533737885,4608135.651533431,test_reduction_only,0
cost_anc_test_pos,2025,100,intervention,9347435.62239749,9347435.62239749,9978326.508973693,8716544.735821288,test_reduction_only,0
cost_anc_test_pos,2025,100,percent_change,95.97912456738194,95.97912456738194,102.82764952355973,89.13059961120415,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,0,absolute_dif,0,0,0,0,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,0,baseline,1089860938.2584538,1089860938.2584538,1104670603.9582717,1075051272.558636,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,0,intervention,1089860938.2584538,1089860938.2584538,1104670603.9582717,1075051272.558636,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,0,percent_change,0,0,0,0,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,25,absolute_dif,74632722.86684227,74632722.86684227,79226524.29029866,70038921.44338588,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,25,baseline,1089860938.2584538,1089860938.2584538,1104670603.9582717,1075051272.558636,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,25,intervention,1164493661.125296,1164493661.125296,1183897128.2485704,1145090194.0020218,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,25,percent_change,6.842966095804712,6.842966095804712,7.171483330896842,6.514448860712582,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,50,absolute_dif,167139925.70770454,167139925.70770454,179639181.24054062,154640670.17486846,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,50,baseline,1089860938.2584538,1089860938.2584538,1104670603.9582717,1075051272.558636,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,50,intervention,1257000863.9661584,1257000863.9661584,1284309785.1988125,1229691942.7335043,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,50,percent_change,15.321761565661092,15.321761565661092,16.260427546477484,14.383095584844698,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,75,absolute_dif,275848491.273842,275848491.273842,299755399.5904555,251941582.9572285,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,75,baseline,1089860938.2584538,1089860938.2584538,1104670603.9582717,1075051272.558636,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,75,intervention,1365709429.5322957,1365709429.5322957,1404426003.5487273,1326992855.5158644,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,75,percent_change,25.2825751169244,25.2825751169244,27.132594945482573,23.43255528836622,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,100,absolute_dif,391398583.116271,391398583.116271,428565910.1190776,354231256.1134644,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,100,baseline,1089860938.2584538,1089860938.2584538,1104670603.9582717,1075051272.558636,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,100,intervention,1481259521.3747249,1481259521.3747249,1533236514.0773494,1429282528.6721003,test_reduction_only,0
cost_art_adults_1st_line_1st_yr,2025,100,percent_change,35.86870002843712,35.86870002843712,38.7915768211982,32.94582323567603,test_reduction_only,0
cost_art_adults_1st_line_fu,2025,0,absolute_dif,0,0,0,0,test_reduction_only,0
cost_art_adults_1st_line_fu,2025,0,baseline,41482895271.203766,41482895271.203766,41579401600.53868,41386388941.86886,test_reduction_only,0
cost_art_adults_1st_line_fu,2025,0,intervention,41482895271.203766,41482895271.203766,41579401600.53868,41386388941.86886,test_reduction_only,0
cost_art_adults_1st_line_fu,2025,0,percent_change,0,0,0,0,test_reduction_only,0
cost_art_adults_1st_line_fu,2025,25,absolute_dif,338069603.21780014,338069603.21780014,373593694.1679453,302545512.26765496,test_reduction_only,0
cost_art_adults_1st_line_fu,2025,25,baseline,41482895271.203766,41482895271.203766,41579401600.53868,41386388941.86886,test_reduction_only,0
