year,modeled_scenario,indicator,mean,upper_CI,lower_CI,type,group
1987,Status quo,IncPrevRatio15to49,1.652021,1.84495475,1.52841375,Incidence:Prevalence ratio,15-49 years
1987,Status quo,NewAdultHIV,21767.14,26335.4425,17398.5775,New HIV infections,15-49 years
1987,Status quo,NewHIV15to49,20953.35,25333.205,16736.84,New HIV infections,15+ years
1987,Status quo,Prev15plus,6.424424e-4,8.010310500000001e-4,4.60340125e-4,HIV prevalence,15+ years
1987,Status quo,Prev15to49,7.779271999999999e-4,9.696976e-4,5.56804125e-4,HIV prevalence,15-49 years
1987,Status quo,TotHIV15,13214.831,16476.947500000002,9469.04775,Total living with HIV,15+ years
1987,Status quo,TotHIV15to49,12787.661,15940.01,9152.80525,Total living with HIV,15-49 years
1987,Status quo,Total15plus,20569700,20569700,20569700,Total population,15+ years
1987,Status quo,Total15to49,16438100,16438100,16438100,Total population,15-49 years
1988,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1988,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1988,Status quo,HIVinc15plus,0.002096141,0.00245555725,0.00177281275,HIV incidence,15+ years
1988,Status quo,HIVinc15to49,0.002549985,0.00298634,0.00215541925,HIV incidence,15-49 years
1988,Status quo,IncPrevRatio15plus,1.282777,1.4240455,1.21010325,Incidence:Prevalence ratio,15+ years
1988,Status quo,IncPrevRatio15to49,1.293584,1.4363735,1.2200272499999998,Incidence:Prevalence ratio,15-49 years
1988,Status quo,NewAdultHIV,44474.78,52101.005000000005,37616.51,New HIV infections,15-49 years
1988,Status quo,NewHIV15to49,42887.45,50205.384999999995,36267.545000000006,New HIV infections,15+ years
1988,Status quo,Prev15plus,0.001641672,0.00200909174999999,0.00126183575,HIV prevalence,15+ years
1988,Status quo,Prev15to49,0.001979815,0.00242185625,0.001520096,HIV prevalence,15-49 years
1988,Status quo,TotHIV15,34668.63,42427.735,26647.285000000003,Total living with HIV,15+ years
1988,Status quo,TotHIV15to49,33364.86,40814.335,25617.487500000003,Total living with HIV,15-49 years
1988,Status quo,Total15plus,21117900,21117900,21117900,Total population,15+ years
1988,Status quo,Total15to49,16852510,16852577.5,16852500,Total population,15-49 years
1989,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1989,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1989,Status quo,HIVinc15plus,0.003483876,0.00393580374999999,0.00308336199999999,HIV incidence,15+ years
1989,Status quo,HIVinc15to49,0.004253212,0.0048042905,0.00376148225,HIV incidence,15-49 years
1989,Status quo,IncPrevRatio15plus,0.964805,1.0614065,0.90766045,Incidence:Prevalence ratio,15+ years
1989,Status quo,IncPrevRatio15to49,0.9762722,1.0740075,0.9187063,Incidence:Prevalence ratio,15-49 years
1989,Status quo,NewAdultHIV,75759.37,85571.065,67067.795,New HIV infections,15-49 years
1989,Status quo,NewHIV15to49,73182.72,82597.4525,64775.58499999999,New HIV infections,15+ years
1989,Status quo,Prev15plus,0.003615574,0.0043181865,0.002946287,HIV prevalence,15+ years
1989,Status quo,Prev15to49,0.004358859,0.005203007,0.00354889475,HIV prevalence,15-49 years
1989,Status quo,TotHIV15,78388.24,93621.115,63877.990000000005,Total living with HIV,15+ years
1989,Status quo,TotHIV15to49,75331.79,89920.47,61333.92,Total living with HIV,15-49 years
1989,Status quo,Total15plus,21680740,21680800,21680700,Total population,15+ years
1989,Status quo,Total15to49,17282460,17282577.5,17282400,Total population,15-49 years
1990,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1990,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1990,Status quo,HIVinc15plus,0.005127563,0.00560338549999999,0.004698729,HIV incidence,15+ years
1990,Status quo,HIVinc15to49,0.006281353,0.00686457775,0.0057510585,HIV incidence,15-49 years
1990,Status quo,IncPrevRatio15plus,0.7456496,0.809835775,0.6977857250000001,Incidence:Prevalence ratio,15+ years
1990,Status quo,IncPrevRatio15to49,0.7560763,0.82104205,0.707895225,Incidence:Prevalence ratio,15-49 years
1990,Status quo,NewAdultHIV,114126,124662.8,104641.3,New HIV infections,15-49 years
1990,Status quo,NewHIV15to49,110409.9,120503.35,101219.6,New HIV infections,15+ years
1990,Status quo,Prev15plus,0.00685526299999999,0.00796818475,0.00583433675,HIV prevalence,15+ years
1990,Status quo,Prev15to49,0.008269962,0.0096062535,0.0070359985,HIV prevalence,15-49 years
1990,Status quo,TotHIV15,152532.8,177294.30000000002,129818.1,Total living with HIV,15+ years
1990,Status quo,TotHIV15to49,146583.5,170267.425,124713.3,Total living with HIV,15-49 years
1990,Status quo,Total15plus,22250470,22250755,22250300,Total population,15+ years
1990,Status quo,Total15to49,17724830,17725055,17724700,Total population,15-49 years
1991,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1991,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1991,Status quo,HIVinc15plus,0.007038638,0.0075181915,0.006600607,HIV incidence,15+ years
1991,Status quo,HIVinc15to49,0.008643448,0.00923896275,0.00809831625,HIV incidence,15-49 years
1991,Status quo,IncPrevRatio15plus,0.6035028,0.646549925,0.5644885749999999,Incidence:Prevalence ratio,15+ years
1991,Status quo,IncPrevRatio15to49,0.6127275,0.6563282749999999,0.5734926,Incidence:Prevalence ratio,15-49 years
1991,Status quo,NewAdultHIV,160709.7,171625.025,150852.475,New HIV infections,15-49 years
1991,Status quo,NewHIV15to49,155681.2,166146.95,146118.975,New HIV infections,15+ years
1991,Status quo,Prev15plus,0.01156131,0.0130883975,0.0101670025,HIV prevalence,15+ years
1991,Status quo,Prev15to49,0.01394919,0.01578027249999999,0.01226326,HIV prevalence,15-49 years
1991,Status quo,TotHIV15,264954.1,299945.45,233004.725,Total living with HIV,15+ years
1991,Status quo,TotHIV15to49,254812.8,288256.25,224020.775,Total living with HIV,15-49 years
1991,Status quo,Total15plus,22917330,22917910,22916922.5,Total population,15+ years
1991,Status quo,Total15to49,18267220,18267732.5,18266900,Total population,15-49 years
1992,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1992,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1992,Status quo,HIVinc15plus,0.00915009099999999,0.00966731574999999,0.008737598,HIV incidence,15+ years
1992,Status quo,HIVinc15to49,0.01124398,0.01189198,0.0107272125,HIV incidence,15-49 years
1992,Status quo,IncPrevRatio15plus,0.5019998999999999,0.5323412,0.470089725,Incidence:Prevalence ratio,15+ years
1992,Status quo,IncPrevRatio15to49,0.5099208,0.540689175,0.477891775,Incidence:Prevalence ratio,15-49 years
1992,Status quo,NewAdultHIV,215189.4,227324.825,205760.975,New HIV infections,15-49 years
1992,Status quo,NewHIV15to49,208666.2,220322.75,199522.95,New HIV infections,15+ years
1992,Status quo,Prev15plus,0.01794025,0.019834655,0.01619047749999999,HIV prevalence,15+ years
1992,Status quo,Prev15to49,0.02162095999999999,0.0238861425,0.0195065475,HIV prevalence,15-49 years
1992,Status quo,TotHIV15,425917.2,470876.225,384390.575,Total living with HIV,15+ years
1992,Status quo,TotHIV15to49,410130.1,453082.075,370036.525,Total living with HIV,15-49 years
1992,Status quo,Total15plus,23740900,23741965,23740045,Total population,15+ years
1992,Status quo,Total15to49,18969130,18970065,18968422.5,Total population,15-49 years
1993,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1993,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1993,Status quo,HIVinc15plus,0.01132183,0.011869015,0.0109782875,HIV incidence,15+ years
1993,Status quo,HIVinc15to49,0.013918,0.0146072325,0.01349708,HIV incidence,15-49 years
1993,Status quo,IncPrevRatio15plus,0.4239013,0.447625725,0.3977671,Incidence:Prevalence ratio,15+ years
1993,Status quo,IncPrevRatio15to49,0.4305644,0.45452717500000006,0.4043747,Incidence:Prevalence ratio,15-49 years
1993,Status quo,NewAdultHIV,273330.8,286395.225,265253,New HIV infections,15-49 years
1993,Status quo,NewHIV15to49,265160,277663.525,257608.7,New HIV infections,15+ years
1993,Status quo,Prev15plus,0.02605877,0.0282185425,0.02400526,HIV prevalence,15+ years
1993,Status quo,Prev15to49,0.0313654,0.03393959499999999,0.02888551999999999,HIV prevalence,15-49 years
1993,Status quo,TotHIV15,639938.5,692935.325,589550.8,Total living with HIV,15+ years
1993,Status quo,TotHIV15to49,616937.8,667527.7,568203.275,Total living with HIV,15-49 years
1993,Status quo,Total15plus,24557550,24559530,24555967.5,Total population,15+ years
1993,Status quo,Total15to49,19669410,19671052.5,19668122.5,Total population,15-49 years
1994,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1994,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1994,Status quo,HIVinc15plus,0.01335576,0.01395151,0.0130520875,HIV incidence,15+ years
1994,Status quo,HIVinc15to49,0.01642222,0.017178925,0.01604316,HIV incidence,15-49 years
1994,Status quo,IncPrevRatio15plus,0.3598509,0.3790298,0.338854675,Incidence:Prevalence ratio,15+ years
1994,Status quo,IncPrevRatio15to49,0.3653728,0.3848175,0.34432419999999997,Incidence:Prevalence ratio,15-49 years
1994,Status quo,NewAdultHIV,329983.2,344554.60000000003,322645.225,New HIV infections,15-49 years
1994,Status quo,NewHIV15to49,320074.1,334153.44999999995,313208.375,New HIV infections,15+ years
1994,Status quo,Prev15plus,0.03583512,0.0383072975,0.03357529999999999,HIV prevalence,15+ years
1994,Status quo,Prev15to49,0.04306974,0.0460486125,0.04034293499999999,HIV prevalence,15-49 years
1994,Status quo,TotHIV15,909212.9,971850.25,851972.075,Total living with HIV,15+ years
1994,Status quo,TotHIV15to49,877255.9,937836.175,821814.725,Total living with HIV,15-49 years
1994,Status quo,Total15plus,25372180,25375350,25369612.5,Total population,15+ years
1994,Status quo,Total15to49,20368320,20370995,20366222.5,Total population,15-49 years
1995,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1995,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1995,Status quo,HIVinc15plus,0.01506608,0.015655135,0.0147778975,HIV incidence,15+ years
1995,Status quo,HIVinc15to49,0.01852982,0.0192836575,0.01816671,HIV incidence,15-49 years
1995,Status quo,IncPrevRatio15plus,0.3060596,0.3215514,0.289607575,Incidence:Prevalence ratio,15+ years
1995,Status quo,IncPrevRatio15to49,0.3106118,0.326313325,0.29415385,Incidence:Prevalence ratio,15-49 years
1995,Status quo,NewAdultHIV,380037.7,394530.475,373064,New HIV infections,15-49 years
1995,Status quo,NewHIV15to49,368379.2,382320.25,361774.35,New HIV infections,15+ years
1995,Status quo,Prev15plus,0.04696573,0.0496671725,0.04465533,HIV prevalence,15+ years
1995,Status quo,Prev15to49,0.05635436,0.059611385,0.053565945,HIV prevalence,15-49 years
1995,Status quo,TotHIV15,1230170,1300755.25,1169826.5,Total living with HIV,15+ years
1995,Status quo,TotHIV15to49,1187285,1255783.25,1128724,Total living with HIV,15-49 years
1995,Status quo,Total15plus,26192990,26197725,26189112.5,Total population,15+ years
1995,Status quo,Total15to49,21068240,21072215,21064945,Total population,15-49 years
1996,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1996,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1996,Status quo,HIVinc15plus,0.01634509,0.016858325,0.016027505,HIV incidence,15+ years
1996,Status quo,HIVinc15to49,0.02010984,0.02077485,0.019721645,HIV incidence,15-49 years
1996,Status quo,IncPrevRatio15plus,0.2610783,0.27313665000000004,0.248616375,Incidence:Prevalence ratio,15+ years
1996,Status quo,IncPrevRatio15to49,0.2648503,0.277060225,0.252426025,Incidence:Prevalence ratio,15-49 years
1996,Status quo,NewAdultHIV,420192,432766.725,411773.3000000001,New HIV infections,15-49 years
1996,Status quo,NewHIV15to49,406852.3,418858.95,398441.75,New HIV infections,15+ years
1996,Status quo,Prev15plus,0.05896498,0.0619446875,0.056738335,HIV prevalence,15+ years
1996,Status quo,Prev15to49,0.07062519,0.0742441925,0.06793672249999999,HIV prevalence,15-49 years
1996,Status quo,TotHIV15,1593487,1673811.25,1533632.25,Total living with HIV,15+ years
1996,Status quo,TotHIV15to49,1537466,1616010.75,1479271.75,Total living with HIV,15-49 years
1996,Status quo,Total15plus,27024350,27031055,27018945,Total population,15+ years
1996,Status quo,Total15to49,21769450,21775067.5,21764657.5,Total population,15-49 years
1997,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1997,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1997,Status quo,HIVinc15plus,0.01713239,0.01754321999999999,0.01677753249999999,HIV incidence,15+ years
1997,Status quo,HIVinc15to49,0.02110929,0.0216403375,0.02067654,HIV incidence,15-49 years
1997,Status quo,IncPrevRatio15plus,0.2243807,0.233490075,0.21519705,Incidence:Prevalence ratio,15+ years
1997,Status quo,IncPrevRatio15to49,0.2275846,0.236794375,0.218474575,Incidence:Prevalence ratio,15-49 years
1997,Status quo,NewAdultHIV,445668.2,455945.6,436325.7,New HIV infections,15-49 years
1997,Status quo,NewHIV15to49,430781.4,440573.175,421549.625,New HIV infections,15+ years
1997,Status quo,Prev15plus,0.07098178,0.0741219625,0.0689149125,HIV prevalence,15+ years
1997,Status quo,Prev15to49,0.08493101,0.08874694,0.08248214749999999,HIV prevalence,15-49 years
1997,Status quo,TotHIV15,1965407,2052005.25,1908186.5,Total living with HIV,15+ years
1997,Status quo,TotHIV15to49,1894094,1978783.25,1840014.75,Total living with HIV,15-49 years
1997,Status quo,Total15plus,27688960,27697940,27681535,Total population,15+ years
1997,Status quo,Total15to49,22301630,22309152.5,22294927.5,Total population,15-49 years
1998,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1998,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1998,Status quo,HIVinc15plus,0.0175086,0.0178121825,0.0171542675,HIV incidence,15+ years
1998,Status quo,HIVinc15to49,0.02160009,0.0220003375,0.021170395,HIV incidence,15-49 years
1998,Status quo,IncPrevRatio15plus,0.1943857,0.20114015,0.187470925,Incidence:Prevalence ratio,15+ years
1998,Status quo,IncPrevRatio15to49,0.1971482,0.203961025,0.1901985,Incidence:Prevalence ratio,15-49 years
1998,Status quo,NewAdultHIV,460817.2,468552.775,451546.75,New HIV infections,15-49 years
1998,Status quo,NewHIV15to49,444577.8,451796,435525.275,New HIV infections,15+ years
1998,Status quo,Prev15plus,0.08266954,0.08600566250000001,0.0804771825,HIV prevalence,15+ years
1998,Status quo,Prev15to49,0.09879036,0.102883975,0.0962816875,HIV prevalence,15-49 years
1998,Status quo,TotHIV15,2345072,2439909.5,2282644.75,Total living with HIV,15+ years
1998,Status quo,TotHIV15to49,2256236,2349852.25,2198841,Total living with HIV,15-49 years
1998,Status quo,Total15plus,28366860,28378302.5,28357072.5,Total population,15+ years
1998,Status quo,Total15to49,22838700,22848137.5,22829877.5,Total population,15-49 years
1999,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1999,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1999,Status quo,HIVinc15plus,0.01752735,0.017783555,0.01719884,HIV incidence,15+ years
1999,Status quo,HIVinc15to49,0.02164573,0.021933875,0.02125147,HIV incidence,15-49 years
1999,Status quo,IncPrevRatio15plus,0.1697967,0.1747441,0.16407695,Incidence:Prevalence ratio,15+ years
1999,Status quo,IncPrevRatio15to49,0.172207,0.177179525,0.1664126,Incidence:Prevalence ratio,15-49 years
1999,Status quo,NewAdultHIV,466742.4,474117.85,458215.7,New HIV infections,15-49 years
1999,Status quo,NewHIV15to49,449368.5,456352.75,441171.4,New HIV infections,15+ years
1999,Status quo,Prev15plus,0.09360482,0.09707438,0.0913030625,HIV prevalence,15+ years
1999,Status quo,Prev15to49,0.1117034,0.115958375,0.109090625,HIV prevalence,15-49 years
1999,Status quo,TotHIV15,2719089,2820133.5,2651843.25,Total living with HIV,15+ years
1999,Status quo,TotHIV15to49,2610606,2710186.25,2549378.25,Total living with HIV,15-49 years
1999,Status quo,Total15plus,29048630,29062487.5,29036235,Total population,15+ years
1999,Status quo,Total15to49,23370910,23382222.5,23359675,Total population,15-49 years
2000,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
2000,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
2000,Status quo,HIVinc15plus,0.01723479999999999,0.01748691749999999,0.01694625,HIV incidence,15+ years
2000,Status quo,HIVinc15to49,0.02129968,0.0216196925,0.0209621675,HIV incidence,15-49 years
2000,Status quo,IncPrevRatio15plus,0.1493704,0.153262725,0.143877025,Incidence:Prevalence ratio,15+ years
2000,Status quo,IncPrevRatio15to49,0.1514846,0.155301875,0.145900975,Incidence:Prevalence ratio,15-49 years
2000,Status quo,NewAdultHIV,464292.1,471435.125,456897.025,New HIV infections,15-49 years
2000,Status quo,NewHIV15to49,445991.3,453406.6,439084.55,New HIV infections,15+ years
2000,Status quo,Prev15plus,0.1034827,0.10695775,0.10109675,HIV prevalence,15+ years
2000,Status quo,Prev15to49,0.1233138,0.1275731,0.120630025,HIV prevalence,15-49 years
2000,Status quo,TotHIV15,3075184,3178766.75,3003697,Total living with HIV,15+ years
2000,Status quo,TotHIV15to49,2945236,3047094.25,2880867.25,Total living with HIV,15-49 years
2000,Status quo,Total15plus,29716970,29733117.5,29701967.5,Total population,15+ years
2000,Status quo,Total15to49,23884150,23897130,23870442.5,Total population,15-49 years
2001,Status quo,ARTcoverage15to49,0.001691903,0.00172867975,0.00164420975,ART coverage,15-49 years
2001,Status quo,ARTcoverageAdult,0.001720205,0.00175821975,0.00167137999999999,ART coverage,15+ years
2001,Status quo,HIVinc15plus,0.01671522,0.016991575,0.01646591,HIV incidence,15+ years
2001,Status quo,HIVinc15to49,0.02065964,0.02101606999999999,0.0203856425,HIV incidence,15-49 years
2001,Status quo,IncPrevRatio15plus,0.1325496,0.1359218,0.127213475,Incidence:Prevalence ratio,15+ years
2001,Status quo,IncPrevRatio15to49,0.134409,0.13762765,0.128992675,Incidence:Prevalence ratio,15-49 years
2001,Status quo,NewAdultHIV,455734.3,463490.5,448964.225,New HIV infections,15-49 years
2001,Status quo,NewHIV15to49,436694.9,444647.975,430510.45,New HIV infections,15+ years
2001,Status quo,Prev15plus,0.1120178,0.115382975,0.1095704,HIV prevalence,15+ years
2001,Status quo,Prev15to49,0.1332679,0.13738995,0.130542325,HIV prevalence,15-49 years
2001,Status quo,TotHIV15,3402959,3505565,3327729.25,Total living with HIV,15+ years
2001,Status quo,TotHIV15to49,3250080,3350702,3183194.5,Total living with HIV,15-49 years
2001,Status quo,Total15plus,30378750,30396860,30360450,Total population,15+ years
2001,Status quo,Total15to49,24387630,24402005,24370997.5,Total population,15-49 years
2002,Status quo,ARTcoverage15to49,0.003341969,0.00341144874999999,0.0032598475,ART coverage,15-49 years
2002,Status quo,ARTcoverageAdult,0.003400669,0.00347253125,0.00331571725,ART coverage,15+ years
2002,Status quo,HIVinc15plus,0.01608898,0.0163846075,0.015831635,HIV incidence,15+ years
2002,Status quo,HIVinc15to49,0.01989261,0.0202745075,0.01961055499999999,HIV incidence,15-49 years
2002,Status quo,IncPrevRatio15plus,0.118804,0.121778725,0.1136302,Incidence:Prevalence ratio,15+ years
2002,Status quo,IncPrevRatio15to49,0.1204563,0.12327915,0.11520975,Incidence:Prevalence ratio,15-49 years
2002,Status quo,NewAdultHIV,444604,452687.85,436721.625,New HIV infections,15-49 years
2002,Status quo,NewHIV15to49,424841.1,433068.15,417360.125,New HIV infections,15+ years
2002,Status quo,Prev15plus,0.1193054,0.1224737,0.116802725,HIV prevalence,15+ years
2002,Status quo,Prev15to49,0.1417746,0.145653375,0.139019625,HIV prevalence,15-49 years
2002,Status quo,TotHIV15,3706421,3805309,3627417.5,Total living with HIV,15+ years
2002,Status quo,TotHIV15to49,3527993,3624578,3458797.5,Total living with HIV,15-49 years
2002,Status quo,Total15plus,31066620,31086692.5,31044960,Total population,15+ years
2002,Status quo,Total15to49,24884570,24900247.5,24864947.5,Total population,15-49 years
2003,Status quo,ARTcoverage15to49,0.005156957,0.0052607335,0.0050483495,ART coverage,15-49 years
2003,Status quo,ARTcoverageAdult,0.00525040699999999,0.005357872,0.00513654,ART coverage,15+ years
2003,Status quo,HIVinc15plus,0.0154862,0.015793295,0.01515394,HIV incidence,15+ years
2003,Status quo,HIVinc15to49,0.01914911,0.0195464725,0.018772455,HIV incidence,15-49 years
2003,Status quo,IncPrevRatio15plus,0.1081494,0.110925,0.1031368,Incidence:Prevalence ratio,15+ years
2003,Status quo,IncPrevRatio15to49,0.1096468,0.112161875,0.10456747499999999,Incidence:Prevalence ratio,15-49 years
2003,Status quo,NewAdultHIV,433552.6,441949.35,423584.45,New HIV infections,15-49 years
2003,Status quo,NewHIV15to49,413001,421469.35,403380.65,New HIV infections,15+ years
2003,Status quo,Prev15plus,0.1252892,0.1281938,0.122733275,HIV prevalence,15+ years
2003,Status quo,Prev15to49,0.1487146,0.15226812499999998,0.14593592500000002,HIV prevalence,15-49 years
2003,Status quo,TotHIV15,3973173,4065930,3890310.75,Total living with HIV,15+ years
2003,Status quo,TotHIV15to49,3767695,3857792.25,3696336.25,Total living with HIV,15-49 years
2003,Status quo,Total15plus,31712020,31734160,31687210,Total population,15+ years
2003,Status quo,Total15to49,25335100,25352235,25312505,Total population,15-49 years
2004,Status quo,ARTcoverage15to49,0.007253672,0.00739655975,0.00712540699999999,ART coverage,15-49 years
2004,Status quo,ARTcoverageAdult,0.00738629,0.00753458975,0.007249499,ART coverage,15+ years
2004,Status quo,HIVinc15plus,0.01489294,0.01520436,0.014505795,HIV incidence,15+ years
2004,Status quo,HIVinc15to49,0.01841674,0.0188205225,0.01796308,HIV incidence,15-49 years
2004,Status quo,IncPrevRatio15plus,0.09960934,0.1022452,0.094814075,Incidence:Prevalence ratio,15+ years
2004,Status quo,IncPrevRatio15to49,0.10101852,0.10339265,0.09616191,Incidence:Prevalence ratio,15-49 years
2004,Status quo,NewAdultHIV,422206.2,430725.875,410391.875,New HIV infections,15-49 years
2004,Status quo,NewHIV15to49,400902.4,409427.075,389569.7,New HIV infections,15+ years
2004,Status quo,Prev15plus,0.1300975,0.132696225,0.127481275,HIV prevalence,15+ years
2004,Status quo,Prev15to49,0.1542331,0.157403925,0.15143,HIV prevalence,15-49 years
2004,Status quo,TotHIV15,4203458,4288307.25,4116452.25,Total living with HIV,15+ years
2004,Status quo,TotHIV15to49,3969602,4051365,3896075,Total living with HIV,15-49 years
2004,Status quo,Total15plus,32310070,32334495,32282377.5,Total population,15+ years
2004,Status quo,Total15to49,25737700,25756390,25712337.5,Total population,15-49 years
2005,Status quo,ARTcoverage15to49,0.01979657,0.0201869975,0.019488405,ART coverage,15-49 years
2005,Status quo,ARTcoverageAdult,0.02005635,0.0204550975,0.01973971,ART coverage,15+ years
2005,Status quo,HIVinc15plus,0.01432992,0.014634515,0.0139071275,HIV incidence,15+ years
2005,Status quo,HIVinc15to49,0.01772997,0.0181261325,0.017227955,HIV incidence,15-49 years
2005,Status quo,IncPrevRatio15plus,0.09281933,0.09530196,0.088336595,Incidence:Prevalence ratio,15+ years
2005,Status quo,IncPrevRatio15to49,0.09421057,0.0964526125,0.089672505,Incidence:Prevalence ratio,15-49 years
2005,Status quo,NewAdultHIV,411397.5,419742.775,398582.6,New HIV infections,15-49 years
2005,Status quo,NewHIV15to49,389397.7,397864.275,377151.1,New HIV infections,15+ years
2005,Status quo,Prev15plus,0.1337658,0.136023475,0.1310956,HIV prevalence,15+ years
2005,Status quo,Prev15to49,0.1584182,0.161162925,0.155601725,HIV prevalence,15-49 years
2005,Status quo,TotHIV15,4397270,4472638,4306258.25,Total living with HIV,15+ years
2005,Status quo,TotHIV15to49,4134182,4206033.5,4058862.25,Total living with HIV,15-49 years
2005,Status quo,Total15plus,32872830,32899110,32842135,Total population,15+ years
2005,Status quo,Total15to49,26096670,26117377.5,26068570,Total population,15-49 years
2006,Status quo,ARTcoverage15to49,0.03824402,0.03898016,0.037747425,ART coverage,15-49 years
2006,Status quo,ARTcoverageAdult,0.03881196,0.039570495,0.0383030925,ART coverage,15+ years
2006,Status quo,HIVinc15plus,0.01385841,0.0141441225,0.013427555,HIV incidence,15+ years
2006,Status quo,HIVinc15to49,0.01716396,0.017537945,0.01664764,HIV incidence,15-49 years
2006,Status quo,IncPrevRatio15plus,0.08736914,0.089707715,0.08325555,Incidence:Prevalence ratio,15+ years
2006,Status quo,IncPrevRatio15to49,0.08881899,0.0909713,0.084656115,Incidence:Prevalence ratio,15-49 years
