year,modeled_scenario,Total15plus,Total15to49,indicator,mean,upper_CI,lower_CI,type,group
1989,Status quo,21680800,17282577.5,HIVinc15plus,NA,0.00393580374999999,NA,HIV incidence,15+ years
1989,Status quo,21680800,17282577.5,HIVinc15to49,NA,0.0048042905,NA,HIV incidence,15-49 years
1989,Status quo,21680800,17282577.5,IncPrevRatio15plus,NA,1.0614065,NA,Incidence:Prevalence ratio,15+ years
1989,Status quo,21680800,17282577.5,IncPrevRatio15to49,NA,1.0740075,NA,Incidence:Prevalence ratio,15-49 years
1989,Status quo,21680800,17282577.5,NewAdultHIV,NA,85571.065,NA,New HIV infections,15-49 years
1989,Status quo,21680800,17282577.5,NewHIV15to49,NA,82597.4525,NA,New HIV infections,15+ years
1989,Status quo,21680800,17282577.5,Prev15plus,NA,0.0043181865,NA,HIV prevalence,15+ years
1989,Status quo,21680800,17282577.5,Prev15to49,NA,0.005203007,NA,HIV prevalence,15-49 years
1989,Status quo,21680800,17282577.5,TotHIV15,NA,93621.115,NA,Total living with HIV,15+ years
1989,Status quo,21680800,17282577.5,TotHIV15to49,NA,89920.47,NA,Total living with HIV,15-49 years
1989,Status quo,21680700,17282400,ARTcoverage15to49,NA,NA,0,ART coverage,15-49 years
1989,Status quo,21680700,17282400,ARTcoverageAdult,NA,NA,0,ART coverage,15+ years
1989,Status quo,21680700,17282400,HIVinc15plus,NA,NA,0.00308336199999999,HIV incidence,15+ years
1989,Status quo,21680700,17282400,HIVinc15to49,NA,NA,0.00376148225,HIV incidence,15-49 years
1989,Status quo,21680700,17282400,IncPrevRatio15plus,NA,NA,0.90766045,Incidence:Prevalence ratio,15+ years
1989,Status quo,21680700,17282400,IncPrevRatio15to49,NA,NA,0.9187063,Incidence:Prevalence ratio,15-49 years
1989,Status quo,21680700,17282400,NewAdultHIV,NA,NA,67067.795,New HIV infections,15-49 years
1989,Status quo,21680700,17282400,NewHIV15to49,NA,NA,64775.58499999999,New HIV infections,15+ years
1989,Status quo,21680700,17282400,Prev15plus,NA,NA,0.002946287,HIV prevalence,15+ years
1989,Status quo,21680700,17282400,Prev15to49,NA,NA,0.00354889475,HIV prevalence,15-49 years
1989,Status quo,21680700,17282400,TotHIV15,NA,NA,63877.990000000005,Total living with HIV,15+ years
1989,Status quo,21680700,17282400,TotHIV15to49,NA,NA,61333.92,Total living with HIV,15-49 years
1990,Status quo,22250470,17724830,ARTcoverage15to49,0,NA,NA,ART coverage,15-49 years
1990,Status quo,22250470,17724830,ARTcoverageAdult,0,NA,NA,ART coverage,15+ years
1990,Status quo,22250470,17724830,HIVinc15plus,0.005127563,NA,NA,HIV incidence,15+ years
1990,Status quo,22250470,17724830,HIVinc15to49,0.006281353,NA,NA,HIV incidence,15-49 years
1990,Status quo,22250470,17724830,IncPrevRatio15plus,0.7456496,NA,NA,Incidence:Prevalence ratio,15+ years
1990,Status quo,22250470,17724830,IncPrevRatio15to49,0.7560763,NA,NA,Incidence:Prevalence ratio,15-49 years
1990,Status quo,22250470,17724830,NewAdultHIV,114126,NA,NA,New HIV infections,15-49 years
1990,Status quo,22250470,17724830,NewHIV15to49,110409.9,NA,NA,New HIV infections,15+ years
1990,Status quo,22250470,17724830,Prev15plus,0.00685526299999999,NA,NA,HIV prevalence,15+ years
1990,Status quo,22250470,17724830,Prev15to49,0.008269962,NA,NA,HIV prevalence,15-49 years
1990,Status quo,22250470,17724830,TotHIV15,152532.8,NA,NA,Total living with HIV,15+ years
1990,Status quo,22250470,17724830,TotHIV15to49,146583.5,NA,NA,Total living with HIV,15-49 years
1990,Status quo,22250755,17725055,ARTcoverage15to49,NA,0,NA,ART coverage,15-49 years
1990,Status quo,22250755,17725055,ARTcoverageAdult,NA,0,NA,ART coverage,15+ years
1990,Status quo,22250755,17725055,HIVinc15plus,NA,0.00560338549999999,NA,HIV incidence,15+ years
1990,Status quo,22250755,17725055,HIVinc15to49,NA,0.00686457775,NA,HIV incidence,15-49 years
1990,Status quo,22250755,17725055,IncPrevRatio15plus,NA,0.809835775,NA,Incidence:Prevalence ratio,15+ years
1990,Status quo,22250755,17725055,IncPrevRatio15to49,NA,0.82104205,NA,Incidence:Prevalence ratio,15-49 years
1990,Status quo,22250755,17725055,NewAdultHIV,NA,124662.8,NA,New HIV infections,15-49 years
1990,Status quo,22250755,17725055,NewHIV15to49,NA,120503.35,NA,New HIV infections,15+ years
1990,Status quo,22250755,17725055,Prev15plus,NA,0.00796818475,NA,HIV prevalence,15+ years
1990,Status quo,22250755,17725055,Prev15to49,NA,0.0096062535,NA,HIV prevalence,15-49 years
1990,Status quo,22250755,17725055,TotHIV15,NA,177294.30000000002,NA,Total living with HIV,15+ years
1990,Status quo,22250755,17725055,TotHIV15to49,NA,170267.425,NA,Total living with HIV,15-49 years
1990,Status quo,22250300,17724700,ARTcoverage15to49,NA,NA,0,ART coverage,15-49 years
1990,Status quo,22250300,17724700,ARTcoverageAdult,NA,NA,0,ART coverage,15+ years
1990,Status quo,22250300,17724700,HIVinc15plus,NA,NA,0.004698729,HIV incidence,15+ years
1990,Status quo,22250300,17724700,HIVinc15to49,NA,NA,0.0057510585,HIV incidence,15-49 years
1990,Status quo,22250300,17724700,IncPrevRatio15plus,NA,NA,0.6977857250000001,Incidence:Prevalence ratio,15+ years
1990,Status quo,22250300,17724700,IncPrevRatio15to49,NA,NA,0.707895225,Incidence:Prevalence ratio,15-49 years
1990,Status quo,22250300,17724700,NewAdultHIV,NA,NA,104641.3,New HIV infections,15-49 years
1990,Status quo,22250300,17724700,NewHIV15to49,NA,NA,101219.6,New HIV infections,15+ years
1990,Status quo,22250300,17724700,Prev15plus,NA,NA,0.00583433675,HIV prevalence,15+ years
1990,Status quo,22250300,17724700,Prev15to49,NA,NA,0.0070359985,HIV prevalence,15-49 years
1990,Status quo,22250300,17724700,TotHIV15,NA,NA,129818.1,Total living with HIV,15+ years
1990,Status quo,22250300,17724700,TotHIV15to49,NA,NA,124713.3,Total living with HIV,15-49 years
1991,Status quo,22917330,18267220,ARTcoverage15to49,0,NA,NA,ART coverage,15-49 years
1991,Status quo,22917330,18267220,ARTcoverageAdult,0,NA,NA,ART coverage,15+ years
1991,Status quo,22917330,18267220,HIVinc15plus,0.007038638,NA,NA,HIV incidence,15+ years
1991,Status quo,22917330,18267220,HIVinc15to49,0.008643448,NA,NA,HIV incidence,15-49 years
1991,Status quo,22917330,18267220,IncPrevRatio15plus,0.6035028,NA,NA,Incidence:Prevalence ratio,15+ years
1991,Status quo,22917330,18267220,IncPrevRatio15to49,0.6127275,NA,NA,Incidence:Prevalence ratio,15-49 years
1991,Status quo,22917330,18267220,NewAdultHIV,160709.7,NA,NA,New HIV infections,15-49 years
1991,Status quo,22917330,18267220,NewHIV15to49,155681.2,NA,NA,New HIV infections,15+ years
1991,Status quo,22917330,18267220,Prev15plus,0.01156131,NA,NA,HIV prevalence,15+ years
1991,Status quo,22917330,18267220,Prev15to49,0.01394919,NA,NA,HIV prevalence,15-49 years
1991,Status quo,22917330,18267220,TotHIV15,264954.1,NA,NA,Total living with HIV,15+ years
1991,Status quo,22917330,18267220,TotHIV15to49,254812.8,NA,NA,Total living with HIV,15-49 years
1991,Status quo,22917910,18267732.5,ARTcoverage15to49,NA,0,NA,ART coverage,15-49 years
1991,Status quo,22917910,18267732.5,ARTcoverageAdult,NA,0,NA,ART coverage,15+ years
1991,Status quo,22917910,18267732.5,HIVinc15plus,NA,0.0075181915,NA,HIV incidence,15+ years
1991,Status quo,22917910,18267732.5,HIVinc15to49,NA,0.00923896275,NA,HIV incidence,15-49 years
1991,Status quo,22917910,18267732.5,IncPrevRatio15plus,NA,0.646549925,NA,Incidence:Prevalence ratio,15+ years
1991,Status quo,22917910,18267732.5,IncPrevRatio15to49,NA,0.6563282749999999,NA,Incidence:Prevalence ratio,15-49 years
1991,Status quo,22917910,18267732.5,NewAdultHIV,NA,171625.025,NA,New HIV infections,15-49 years
1991,Status quo,22917910,18267732.5,NewHIV15to49,NA,166146.95,NA,New HIV infections,15+ years
1991,Status quo,22917910,18267732.5,Prev15plus,NA,0.0130883975,NA,HIV prevalence,15+ years
1991,Status quo,22917910,18267732.5,Prev15to49,NA,0.01578027249999999,NA,HIV prevalence,15-49 years
1991,Status quo,22917910,18267732.5,TotHIV15,NA,299945.45,NA,Total living with HIV,15+ years
1991,Status quo,22917910,18267732.5,TotHIV15to49,NA,288256.25,NA,Total living with HIV,15-49 years
1991,Status quo,22916922.5,18266900,ARTcoverage15to49,NA,NA,0,ART coverage,15-49 years
1991,Status quo,22916922.5,18266900,ARTcoverageAdult,NA,NA,0,ART coverage,15+ years
1991,Status quo,22916922.5,18266900,HIVinc15plus,NA,NA,0.006600607,HIV incidence,15+ years
1991,Status quo,22916922.5,18266900,HIVinc15to49,NA,NA,0.00809831625,HIV incidence,15-49 years
1991,Status quo,22916922.5,18266900,IncPrevRatio15plus,NA,NA,0.5644885749999999,Incidence:Prevalence ratio,15+ years
1991,Status quo,22916922.5,18266900,IncPrevRatio15to49,NA,NA,0.5734926,Incidence:Prevalence ratio,15-49 years
1991,Status quo,22916922.5,18266900,NewAdultHIV,NA,NA,150852.475,New HIV infections,15-49 years
1991,Status quo,22916922.5,18266900,NewHIV15to49,NA,NA,146118.975,New HIV infections,15+ years
1991,Status quo,22916922.5,18266900,Prev15plus,NA,NA,0.0101670025,HIV prevalence,15+ years
1991,Status quo,22916922.5,18266900,Prev15to49,NA,NA,0.01226326,HIV prevalence,15-49 years
1991,Status quo,22916922.5,18266900,TotHIV15,NA,NA,233004.725,Total living with HIV,15+ years
1991,Status quo,22916922.5,18266900,TotHIV15to49,NA,NA,224020.775,Total living with HIV,15-49 years
1992,Status quo,23740900,18969130,ARTcoverage15to49,0,NA,NA,ART coverage,15-49 years
1992,Status quo,23740900,18969130,ARTcoverageAdult,0,NA,NA,ART coverage,15+ years
1992,Status quo,23740900,18969130,HIVinc15plus,0.00915009099999999,NA,NA,HIV incidence,15+ years
1992,Status quo,23740900,18969130,HIVinc15to49,0.01124398,NA,NA,HIV incidence,15-49 years
1992,Status quo,23740900,18969130,IncPrevRatio15plus,0.5019998999999999,NA,NA,Incidence:Prevalence ratio,15+ years
1992,Status quo,23740900,18969130,IncPrevRatio15to49,0.5099208,NA,NA,Incidence:Prevalence ratio,15-49 years
1992,Status quo,23740900,18969130,NewAdultHIV,215189.4,NA,NA,New HIV infections,15-49 years
1992,Status quo,23740900,18969130,NewHIV15to49,208666.2,NA,NA,New HIV infections,15+ years
1992,Status quo,23740900,18969130,Prev15plus,0.01794025,NA,NA,HIV prevalence,15+ years
1992,Status quo,23740900,18969130,Prev15to49,0.02162095999999999,NA,NA,HIV prevalence,15-49 years
1992,Status quo,23740900,18969130,TotHIV15,425917.2,NA,NA,Total living with HIV,15+ years
1992,Status quo,23740900,18969130,TotHIV15to49,410130.1,NA,NA,Total living with HIV,15-49 years
1992,Status quo,23741965,18970065,ARTcoverage15to49,NA,0,NA,ART coverage,15-49 years
1992,Status quo,23741965,18970065,ARTcoverageAdult,NA,0,NA,ART coverage,15+ years
1992,Status quo,23741965,18970065,HIVinc15plus,NA,0.00966731574999999,NA,HIV incidence,15+ years
1992,Status quo,23741965,18970065,HIVinc15to49,NA,0.01189198,NA,HIV incidence,15-49 years
1992,Status quo,23741965,18970065,IncPrevRatio15plus,NA,0.5323412,NA,Incidence:Prevalence ratio,15+ years
1992,Status quo,23741965,18970065,IncPrevRatio15to49,NA,0.540689175,NA,Incidence:Prevalence ratio,15-49 years
1992,Status quo,23741965,18970065,NewAdultHIV,NA,227324.825,NA,New HIV infections,15-49 years
1992,Status quo,23741965,18970065,NewHIV15to49,NA,220322.75,NA,New HIV infections,15+ years
1992,Status quo,23741965,18970065,Prev15plus,NA,0.019834655,NA,HIV prevalence,15+ years
1992,Status quo,23741965,18970065,Prev15to49,NA,0.0238861425,NA,HIV prevalence,15-49 years
1992,Status quo,23741965,18970065,TotHIV15,NA,470876.225,NA,Total living with HIV,15+ years
1992,Status quo,23741965,18970065,TotHIV15to49,NA,453082.075,NA,Total living with HIV,15-49 years
1992,Status quo,23740045,18968422.5,ARTcoverage15to49,NA,NA,0,ART coverage,15-49 years
1992,Status quo,23740045,18968422.5,ARTcoverageAdult,NA,NA,0,ART coverage,15+ years
1992,Status quo,23740045,18968422.5,HIVinc15plus,NA,NA,0.008737598,HIV incidence,15+ years
1992,Status quo,23740045,18968422.5,HIVinc15to49,NA,NA,0.0107272125,HIV incidence,15-49 years
1992,Status quo,23740045,18968422.5,IncPrevRatio15plus,NA,NA,0.470089725,Incidence:Prevalence ratio,15+ years
1992,Status quo,23740045,18968422.5,IncPrevRatio15to49,NA,NA,0.477891775,Incidence:Prevalence ratio,15-49 years
1992,Status quo,23740045,18968422.5,NewAdultHIV,NA,NA,205760.975,New HIV infections,15-49 years
1992,Status quo,23740045,18968422.5,NewHIV15to49,NA,NA,199522.95,New HIV infections,15+ years
1992,Status quo,23740045,18968422.5,Prev15plus,NA,NA,0.01619047749999999,HIV prevalence,15+ years
1992,Status quo,23740045,18968422.5,Prev15to49,NA,NA,0.0195065475,HIV prevalence,15-49 years
1992,Status quo,23740045,18968422.5,TotHIV15,NA,NA,384390.575,Total living with HIV,15+ years
1992,Status quo,23740045,18968422.5,TotHIV15to49,NA,NA,370036.525,Total living with HIV,15-49 years
1993,Status quo,24557550,19669410,ARTcoverage15to49,0,NA,NA,ART coverage,15-49 years
1993,Status quo,24557550,19669410,ARTcoverageAdult,0,NA,NA,ART coverage,15+ years
1993,Status quo,24557550,19669410,HIVinc15plus,0.01132183,NA,NA,HIV incidence,15+ years
1993,Status quo,24557550,19669410,HIVinc15to49,0.013918,NA,NA,HIV incidence,15-49 years
1993,Status quo,24557550,19669410,IncPrevRatio15plus,0.4239013,NA,NA,Incidence:Prevalence ratio,15+ years
1993,Status quo,24557550,19669410,IncPrevRatio15to49,0.4305644,NA,NA,Incidence:Prevalence ratio,15-49 years
1993,Status quo,24557550,19669410,NewAdultHIV,273330.8,NA,NA,New HIV infections,15-49 years
1993,Status quo,24557550,19669410,NewHIV15to49,265160,NA,NA,New HIV infections,15+ years
1993,Status quo,24557550,19669410,Prev15plus,0.02605877,NA,NA,HIV prevalence,15+ years
1993,Status quo,24557550,19669410,Prev15to49,0.0313654,NA,NA,HIV prevalence,15-49 years
1993,Status quo,24557550,19669410,TotHIV15,639938.5,NA,NA,Total living with HIV,15+ years
1993,Status quo,24557550,19669410,TotHIV15to49,616937.8,NA,NA,Total living with HIV,15-49 years
1993,Status quo,24559530,19671052.5,ARTcoverage15to49,NA,0,NA,ART coverage,15-49 years
1993,Status quo,24559530,19671052.5,ARTcoverageAdult,NA,0,NA,ART coverage,15+ years
1993,Status quo,24559530,19671052.5,HIVinc15plus,NA,0.011869015,NA,HIV incidence,15+ years
1993,Status quo,24559530,19671052.5,HIVinc15to49,NA,0.0146072325,NA,HIV incidence,15-49 years
1993,Status quo,24559530,19671052.5,IncPrevRatio15plus,NA,0.447625725,NA,Incidence:Prevalence ratio,15+ years
1993,Status quo,24559530,19671052.5,IncPrevRatio15to49,NA,0.45452717500000006,NA,Incidence:Prevalence ratio,15-49 years
1993,Status quo,24559530,19671052.5,NewAdultHIV,NA,286395.225,NA,New HIV infections,15-49 years
1993,Status quo,24559530,19671052.5,NewHIV15to49,NA,277663.525,NA,New HIV infections,15+ years
1993,Status quo,24559530,19671052.5,Prev15plus,NA,0.0282185425,NA,HIV prevalence,15+ years
1993,Status quo,24559530,19671052.5,Prev15to49,NA,0.03393959499999999,NA,HIV prevalence,15-49 years
1993,Status quo,24559530,19671052.5,TotHIV15,NA,692935.325,NA,Total living with HIV,15+ years
1993,Status quo,24559530,19671052.5,TotHIV15to49,NA,667527.7,NA,Total living with HIV,15-49 years
1993,Status quo,24555967.5,19668122.5,ARTcoverage15to49,NA,NA,0,ART coverage,15-49 years
1993,Status quo,24555967.5,19668122.5,ARTcoverageAdult,NA,NA,0,ART coverage,15+ years
1993,Status quo,24555967.5,19668122.5,HIVinc15plus,NA,NA,0.0109782875,HIV incidence,15+ years
1993,Status quo,24555967.5,19668122.5,HIVinc15to49,NA,NA,0.01349708,HIV incidence,15-49 years
1993,Status quo,24555967.5,19668122.5,IncPrevRatio15plus,NA,NA,0.3977671,Incidence:Prevalence ratio,15+ years
1993,Status quo,24555967.5,19668122.5,IncPrevRatio15to49,NA,NA,0.4043747,Incidence:Prevalence ratio,15-49 years
1993,Status quo,24555967.5,19668122.5,NewAdultHIV,NA,NA,265253,New HIV infections,15-49 years
1993,Status quo,24555967.5,19668122.5,NewHIV15to49,NA,NA,257608.7,New HIV infections,15+ years
1993,Status quo,24555967.5,19668122.5,Prev15plus,NA,NA,0.02400526,HIV prevalence,15+ years
1993,Status quo,24555967.5,19668122.5,Prev15to49,NA,NA,0.02888551999999999,HIV prevalence,15-49 years
1993,Status quo,24555967.5,19668122.5,TotHIV15,NA,NA,589550.8,Total living with HIV,15+ years
1993,Status quo,24555967.5,19668122.5,TotHIV15to49,NA,NA,568203.275,Total living with HIV,15-49 years
1994,Status quo,25372180,20368320,ARTcoverage15to49,0,NA,NA,ART coverage,15-49 years
1994,Status quo,25372180,20368320,ARTcoverageAdult,0,NA,NA,ART coverage,15+ years
1994,Status quo,25372180,20368320,HIVinc15plus,0.01335576,NA,NA,HIV incidence,15+ years
1994,Status quo,25372180,20368320,HIVinc15to49,0.01642222,NA,NA,HIV incidence,15-49 years
1994,Status quo,25372180,20368320,IncPrevRatio15plus,0.3598509,NA,NA,Incidence:Prevalence ratio,15+ years
1994,Status quo,25372180,20368320,IncPrevRatio15to49,0.3653728,NA,NA,Incidence:Prevalence ratio,15-49 years
1994,Status quo,25372180,20368320,NewAdultHIV,329983.2,NA,NA,New HIV infections,15-49 years
1994,Status quo,25372180,20368320,NewHIV15to49,320074.1,NA,NA,New HIV infections,15+ years
1994,Status quo,25372180,20368320,Prev15plus,0.03583512,NA,NA,HIV prevalence,15+ years
1994,Status quo,25372180,20368320,Prev15to49,0.04306974,NA,NA,HIV prevalence,15-49 years
1994,Status quo,25372180,20368320,TotHIV15,909212.9,NA,NA,Total living with HIV,15+ years
1994,Status quo,25372180,20368320,TotHIV15to49,877255.9,NA,NA,Total living with HIV,15-49 years
1994,Status quo,25375350,20370995,ARTcoverage15to49,NA,0,NA,ART coverage,15-49 years
1994,Status quo,25375350,20370995,ARTcoverageAdult,NA,0,NA,ART coverage,15+ years
