intervention_year,indicator,year,parameter_set,scenario,value
2025,TotalHIVtests,2016,2,intervention,13668700
2025,TotalHIVtests,2016,2,baseline,13668700
2025,TotalHIVtests,2017,1,intervention,13172500
2025,TotalHIVtests,2017,1,baseline,13172500
2025,TotalHIVtests,2017,2,intervention,13129700
2025,TotalHIVtests,2017,2,baseline,13129700
2025,TotalHIVtests,2018,1,intervention,14070700
2025,TotalHIVtests,2018,1,baseline,14070700
2025,TotalHIVtests,2018,2,intervention,14025800
2025,TotalHIVtests,2018,2,baseline,14025800
2025,TotalHIVtests,2019,1,intervention,17844300
2025,TotalHIVtests,2019,1,baseline,17844300
2025,TotalHIVtests,2019,2,intervention,17789500
2025,TotalHIVtests,2019,2,baseline,17789500
2025,TotalHIVtests,2020,1,intervention,13718100
2025,TotalHIVtests,2020,1,baseline,13718100
2025,TotalHIVtests,2020,2,intervention,13686200
2025,TotalHIVtests,2020,2,baseline,13686200
2025,TotalHIVtests,2021,1,intervention,15666700
2025,TotalHIVtests,2021,1,baseline,15666700
2025,TotalHIVtests,2021,2,intervention,13565800
2025,TotalHIVtests,2021,2,baseline,13565800
2025,TotalHIVtests,2022,1,intervention,18178000
2025,TotalHIVtests,2022,1,baseline,18178000
2025,TotalHIVtests,2022,2,intervention,14981800
2025,TotalHIVtests,2022,2,baseline,14981800
2025,TotalHIVtests,2023,1,intervention,18651700
2025,TotalHIVtests,2023,1,baseline,18651700
2025,TotalHIVtests,2023,2,intervention,15349600
2025,TotalHIVtests,2023,2,baseline,15349600
2025,TotalHIVtests,2024,1,intervention,19125400
2025,TotalHIVtests,2024,1,baseline,19125400
2025,TotalHIVtests,2024,2,intervention,15727100
2025,TotalHIVtests,2024,2,baseline,15727100
2025,TotalHIVtests,2025,1,intervention,3350050
2025,TotalHIVtests,2025,1,baseline,19607700
2025,TotalHIVtests,2025,2,intervention,3271970
2025,TotalHIVtests,2025,2,baseline,16120500
2025,TotalHIVtests,2026,1,intervention,3523360
2025,TotalHIVtests,2026,1,baseline,20034500
2025,TotalHIVtests,2026,2,intervention,3432030
2025,TotalHIVtests,2026,2,baseline,16466400
2025,TotalHIVtests,2027,1,intervention,3649920
2025,TotalHIVtests,2027,1,baseline,20401900
2025,TotalHIVtests,2027,2,intervention,3550430
2025,TotalHIVtests,2027,2,baseline,16761400
2025,TotalHIVtests,2028,1,intervention,3761910
2025,TotalHIVtests,2028,1,baseline,20757400
2025,TotalHIVtests,2028,2,intervention,3655720
2025,TotalHIVtests,2028,2,baseline,17048300
2025,TotalHIVtests,2029,1,intervention,3866650
2025,TotalHIVtests,2029,1,baseline,21110000
2025,TotalHIVtests,2029,2,intervention,3754340
2025,TotalHIVtests,2029,2,baseline,17334200
2025,TotalHIVtests,2030,1,intervention,3960000
2025,TotalHIVtests,2030,1,baseline,21457000
2025,TotalHIVtests,2030,2,intervention,3842260
2025,TotalHIVtests,2030,2,baseline,17615000
2025,TotalHIVtests,2031,1,intervention,4042430
2025,TotalHIVtests,2031,1,baseline,21796800
2025,TotalHIVtests,2031,2,intervention,3919810
2025,TotalHIVtests,2031,2,baseline,17889100
2025,TotalHIVtests,2032,1,intervention,4115300
2025,TotalHIVtests,2032,1,baseline,22124900
2025,TotalHIVtests,2032,2,intervention,3988130
2025,TotalHIVtests,2032,2,baseline,18152100
2025,TotalHIVtests,2033,1,intervention,4179360
2025,TotalHIVtests,2033,1,baseline,22441300
2025,TotalHIVtests,2033,2,intervention,4047940
2025,TotalHIVtests,2033,2,baseline,18404700
2025,TotalHIVtests,2034,1,intervention,4237190
2025,TotalHIVtests,2034,1,baseline,22747100
2025,TotalHIVtests,2034,2,intervention,4101710
2025,TotalHIVtests,2034,2,baseline,18648000
2025,TotalHIVtests,2035,1,intervention,4292800
2025,TotalHIVtests,2035,1,baseline,23044700
2025,TotalHIVtests,2035,2,intervention,4153260
2025,TotalHIVtests,2035,2,baseline,18884900
2025,TotalHIVtests,2036,1,intervention,4345820
2025,TotalHIVtests,2036,1,baseline,23333000
2025,TotalHIVtests,2036,2,intervention,4202260
2025,TotalHIVtests,2036,2,baseline,19114300
2025,TotalHIVtests,2037,1,intervention,4393870
2025,TotalHIVtests,2037,1,baseline,23608800
2025,TotalHIVtests,2037,2,intervention,4246360
2025,TotalHIVtests,2037,2,baseline,19332800
2025,TotalHIVtests,2038,1,intervention,4436530
2025,TotalHIVtests,2038,1,baseline,23872000
2025,TotalHIVtests,2038,2,intervention,4285200
2025,TotalHIVtests,2038,2,baseline,19540500
2025,TotalHIVtests,2039,1,intervention,4474230
2025,TotalHIVtests,2039,1,baseline,24123000
2025,TotalHIVtests,2039,2,intervention,4319230
2025,TotalHIVtests,2039,2,baseline,19737600
2025,TotalHIVtests,2040,1,intervention,4508060
2025,TotalHIVtests,2040,1,baseline,24363300
2025,TotalHIVtests,2040,2,intervention,4349550
2025,TotalHIVtests,2040,2,baseline,19925600
2025,TotalHIVtests,2041,1,intervention,4539590
2025,TotalHIVtests,2041,1,baseline,24594500
2025,TotalHIVtests,2041,2,intervention,4377640
2025,TotalHIVtests,2041,2,baseline,20106100
2025,TotalHIVtests,2042,1,intervention,4572620
2025,TotalHIVtests,2042,1,baseline,24819800
2025,TotalHIVtests,2042,2,intervention,4407120
2025,TotalHIVtests,2042,2,baseline,20282200
2025,TotalHIVtests,2043,1,intervention,4605930
2025,TotalHIVtests,2043,1,baseline,25038300
2025,TotalHIVtests,2043,2,intervention,4436790
2025,TotalHIVtests,2043,2,baseline,20453200
2025,TotalHIVtests,2044,1,intervention,4637280
2025,TotalHIVtests,2044,1,baseline,25248500
2025,TotalHIVtests,2044,2,intervention,4464540
2025,TotalHIVtests,2044,2,baseline,20617300
2025,TotalHIVtests,2045,1,intervention,4666840
2025,TotalHIVtests,2045,1,baseline,25450600
2025,TotalHIVtests,2045,2,intervention,4490550
2025,TotalHIVtests,2045,2,baseline,20774900
2025,TotalHIVtests,2046,1,intervention,4695540
2025,TotalHIVtests,2046,1,baseline,25645500
2025,TotalHIVtests,2046,2,intervention,4515700
2025,TotalHIVtests,2046,2,baseline,20926900
2025,TotalHIVtests,2047,1,intervention,4724630
2025,TotalHIVtests,2047,1,baseline,25834700
2025,TotalHIVtests,2047,2,intervention,4541360
2025,TotalHIVtests,2047,2,baseline,21075000
2025,TotalHIVtests,2048,1,intervention,4753570
2025,TotalHIVtests,2048,1,baseline,26018300
2025,TotalHIVtests,2048,2,intervention,4567090
2025,TotalHIVtests,2048,2,baseline,21219200
2025,TotalHIVtests,2049,1,intervention,4781570
2025,TotalHIVtests,2049,1,baseline,26195900
2025,TotalHIVtests,2049,2,intervention,4592080
2025,TotalHIVtests,2049,2,baseline,21359100
2025,TotalHIVtests,2050,1,intervention,4808610
2025,TotalHIVtests,2050,1,baseline,26368100
2025,TotalHIVtests,2050,2,intervention,4616280
2025,TotalHIVtests,2050,2,baseline,21495000
2025,TotalHIVtests,2051,1,intervention,4834780
2025,TotalHIVtests,2051,1,baseline,26535200
2025,TotalHIVtests,2051,2,intervention,4639750
2025,TotalHIVtests,2051,2,baseline,21627300
2025,TotalHIVtests,2052,1,intervention,4860210
2025,TotalHIVtests,2052,1,baseline,26697900
2025,TotalHIVtests,2052,2,intervention,4662600
2025,TotalHIVtests,2052,2,baseline,21756400
2025,TotalHIVtests,2053,1,intervention,4885120
2025,TotalHIVtests,2053,1,baseline,26856500
2025,TotalHIVtests,2053,2,intervention,4684980
2025,TotalHIVtests,2053,2,baseline,21882500
2025,TotalHIVtests,2054,1,intervention,4909610
2025,TotalHIVtests,2054,1,baseline,27011100
2025,TotalHIVtests,2054,2,intervention,4706980
2025,TotalHIVtests,2054,2,baseline,22005800
2025,TotalHIVtests,2055,1,intervention,4933670
2025,TotalHIVtests,2055,1,baseline,27161500
2025,TotalHIVtests,2055,2,intervention,4728530
2025,TotalHIVtests,2055,2,baseline,22125900
2025,TotalHIVtests,2056,1,intervention,4957210
2025,TotalHIVtests,2056,1,baseline,27307600
2025,TotalHIVtests,2056,2,intervention,4749550
2025,TotalHIVtests,2056,2,baseline,22242600
2025,TotalHIVtests,2057,1,intervention,4980100
2025,TotalHIVtests,2057,1,baseline,27448800
2025,TotalHIVtests,2057,2,intervention,4769880
2025,TotalHIVtests,2057,2,baseline,22355500
2025,TotalHIVtests,2058,1,intervention,5002140
2025,TotalHIVtests,2058,1,baseline,27584700
2025,TotalHIVtests,2058,2,intervention,4789340
2025,TotalHIVtests,2058,2,baseline,22464200
2025,TotalHIVtests,2059,1,intervention,5023100
2025,TotalHIVtests,2059,1,baseline,27714800
2025,TotalHIVtests,2059,2,intervention,4807710
2025,TotalHIVtests,2059,2,baseline,22568200
2025,TotalHIVtests,2060,1,intervention,5042790
2025,TotalHIVtests,2060,1,baseline,27838400
2025,TotalHIVtests,2060,2,intervention,4824800
2025,TotalHIVtests,2060,2,baseline,22666900
2025,TotalHIVtests,2061,1,intervention,5061010
2025,TotalHIVtests,2061,1,baseline,27955100
2025,TotalHIVtests,2061,2,intervention,4840440
2025,TotalHIVtests,2061,2,baseline,22759900
2025,TotalHIVtests,2062,1,intervention,5077630
2025,TotalHIVtests,2062,1,baseline,28064300
2025,TotalHIVtests,2062,2,intervention,4854510
2025,TotalHIVtests,2062,2,baseline,22846800
2025,TotalHIVtests,2063,1,intervention,5092600
2025,TotalHIVtests,2063,1,baseline,28165900
2025,TotalHIVtests,2063,2,intervention,4866970
2025,TotalHIVtests,2063,2,baseline,22927300
2025,TotalHIVtests,2064,1,intervention,5105920
2025,TotalHIVtests,2064,1,baseline,28259600
2025,TotalHIVtests,2064,2,intervention,4877820
2025,TotalHIVtests,2064,2,baseline,23001400
2025,TotalHIVtests,2065,1,intervention,5117600
2025,TotalHIVtests,2065,1,baseline,28345200
2025,TotalHIVtests,2065,2,intervention,4887080
2025,TotalHIVtests,2065,2,baseline,23069000
2025,TotalHIVtests,2066,1,intervention,5127680
2025,TotalHIVtests,2066,1,baseline,28422900
2025,TotalHIVtests,2066,2,intervention,4894810
2025,TotalHIVtests,2066,2,baseline,23130100
2025,TotalHIVtests,2067,1,intervention,5136250
2025,TotalHIVtests,2067,1,baseline,28492700
2025,TotalHIVtests,2067,2,intervention,4901110
2025,TotalHIVtests,2067,2,baseline,23184800
2025,TotalHIVtests,2068,1,intervention,5143450
2025,TotalHIVtests,2068,1,baseline,28554900
2025,TotalHIVtests,2068,2,intervention,4906100
2025,TotalHIVtests,2068,2,baseline,23233300
2025,TotalHIVtests,2069,1,intervention,5149400
2025,TotalHIVtests,2069,1,baseline,28609800
2025,TotalHIVtests,2069,2,intervention,4909920
2025,TotalHIVtests,2069,2,baseline,23276000
2025,TotalHIVtests,2070,1,intervention,5154270
2025,TotalHIVtests,2070,1,baseline,28657900
2025,TotalHIVtests,2070,2,intervention,4912740
2025,TotalHIVtests,2070,2,baseline,23313300
2025,NewAdultHIV,1985,1,intervention,2299.97
2025,NewAdultHIV,1985,1,baseline,2299.97
2025,NewAdultHIV,1985,2,intervention,2734.89
2025,NewAdultHIV,1985,2,baseline,2734.89
2025,NewAdultHIV,1986,1,intervention,8400.61
2025,NewAdultHIV,1986,1,baseline,8400.61
2025,NewAdultHIV,1986,2,intervention,10436.9
2025,NewAdultHIV,1986,2,baseline,10436.9
2025,NewAdultHIV,1987,1,intervention,20992.4
2025,NewAdultHIV,1987,1,baseline,20992.4
2025,NewAdultHIV,1987,2,intervention,26680.3
2025,NewAdultHIV,1987,2,baseline,26680.3
2025,NewAdultHIV,1988,1,intervention,41866.3
2025,NewAdultHIV,1988,1,baseline,41866.3
2025,NewAdultHIV,1988,2,intervention,52708.1
2025,NewAdultHIV,1988,2,baseline,52708.1
2025,NewAdultHIV,1989,1,intervention,70972.4
2025,NewAdultHIV,1989,1,baseline,70972.4
2025,NewAdultHIV,1989,2,intervention,86241.7
2025,NewAdultHIV,1989,2,baseline,86241.7
2025,NewAdultHIV,1990,1,intervention,107794
2025,NewAdultHIV,1990,1,baseline,107794
2025,NewAdultHIV,1990,2,intervention,125021
2025,NewAdultHIV,1990,2,baseline,125021
2025,NewAdultHIV,1991,1,intervention,153796
2025,NewAdultHIV,1991,1,baseline,153796
2025,NewAdultHIV,1991,2,intervention,170423
2025,NewAdultHIV,1991,2,baseline,170423
2025,NewAdultHIV,1992,1,intervention,208215
2025,NewAdultHIV,1992,1,baseline,208215
2025,NewAdultHIV,1992,2,intervention,222238
2025,NewAdultHIV,1992,2,baseline,222238
2025,NewAdultHIV,1993,1,intervention,266297
2025,NewAdultHIV,1993,1,baseline,266297
2025,NewAdultHIV,1993,2,intervention,276332
2025,NewAdultHIV,1993,2,baseline,276332
2025,NewAdultHIV,1994,1,intervention,322956
2025,NewAdultHIV,1994,1,baseline,322956
2025,NewAdultHIV,1994,2,intervention,328273
2025,NewAdultHIV,1994,2,baseline,328273
2025,NewAdultHIV,1995,1,intervention,373446
2025,NewAdultHIV,1995,1,baseline,373446
2025,NewAdultHIV,1995,2,intervention,374065
2025,NewAdultHIV,1995,2,baseline,374065
2025,NewAdultHIV,1996,1,intervention,414511
2025,NewAdultHIV,1996,1,baseline,414511
2025,NewAdultHIV,1996,2,intervention,411227
2025,NewAdultHIV,1996,2,baseline,411227
2025,NewAdultHIV,1997,1,intervention,441087
2025,NewAdultHIV,1997,1,baseline,441087
2025,NewAdultHIV,1997,2,intervention,435324
2025,NewAdultHIV,1997,2,baseline,435324
2025,NewAdultHIV,1998,1,intervention,457328
2025,NewAdultHIV,1998,1,baseline,457328
2025,NewAdultHIV,1998,2,intervention,450307
2025,NewAdultHIV,1998,2,baseline,450307
2025,NewAdultHIV,1999,1,intervention,464296
2025,NewAdultHIV,1999,1,baseline,464296
2025,NewAdultHIV,1999,2,intervention,456872
2025,NewAdultHIV,1999,2,baseline,456872
2025,NewAdultHIV,2000,1,intervention,462864
2025,NewAdultHIV,2000,1,baseline,462864
2025,NewAdultHIV,2000,2,intervention,455572
2025,NewAdultHIV,2000,2,baseline,455572
2025,NewAdultHIV,2001,1,intervention,455296
2025,NewAdultHIV,2001,1,baseline,455296
2025,NewAdultHIV,2001,2,intervention,448415
2025,NewAdultHIV,2001,2,baseline,448415
2025,NewAdultHIV,2002,1,intervention,445112
2025,NewAdultHIV,2002,1,baseline,445112
2025,NewAdultHIV,2002,2,intervention,438663
2025,NewAdultHIV,2002,2,baseline,438663
2025,NewAdultHIV,2003,1,intervention,434875
2025,NewAdultHIV,2003,1,baseline,434875
2025,NewAdultHIV,2003,2,intervention,428825
2025,NewAdultHIV,2003,2,baseline,428825
2025,NewAdultHIV,2004,1,intervention,424111
2025,NewAdultHIV,2004,1,baseline,424111
2025,NewAdultHIV,2004,2,intervention,418471
2025,NewAdultHIV,2004,2,baseline,418471
2025,NewAdultHIV,2005,1,intervention,413585
2025,NewAdultHIV,2005,1,baseline,413585
2025,NewAdultHIV,2005,2,intervention,408231
2025,NewAdultHIV,2005,2,baseline,408231
2025,NewAdultHIV,2006,1,intervention,404955
2025,NewAdultHIV,2006,1,baseline,404955
2025,NewAdultHIV,2006,2,intervention,399732
2025,NewAdultHIV,2006,2,baseline,399732
2025,NewAdultHIV,2007,1,intervention,398967
2025,NewAdultHIV,2007,1,baseline,398967
2025,NewAdultHIV,2007,2,intervention,393879
2025,NewAdultHIV,2007,2,baseline,393879
2025,NewAdultHIV,2008,1,intervention,393147
2025,NewAdultHIV,2008,1,baseline,393147
2025,NewAdultHIV,2008,2,intervention,388166
2025,NewAdultHIV,2008,2,baseline,388166
2025,NewAdultHIV,2009,1,intervention,385169
2025,NewAdultHIV,2009,1,baseline,385169
2025,NewAdultHIV,2009,2,intervention,379865
2025,NewAdultHIV,2009,2,baseline,379865
2025,NewAdultHIV,2010,1,intervention,376056
2025,NewAdultHIV,2010,1,baseline,376056
2025,NewAdultHIV,2010,2,intervention,369852
2025,NewAdultHIV,2010,2,baseline,369852
2025,NewAdultHIV,2011,1,intervention,363353
2025,NewAdultHIV,2011,1,baseline,363353
2025,NewAdultHIV,2011,2,intervention,356502
2025,NewAdultHIV,2011,2,baseline,356502
2025,NewAdultHIV,2012,1,intervention,344731
2025,NewAdultHIV,2012,1,baseline,344731
2025,NewAdultHIV,2012,2,intervention,338011
2025,NewAdultHIV,2012,2,baseline,338011
2025,NewAdultHIV,2013,1,intervention,327405
2025,NewAdultHIV,2013,1,baseline,327405
2025,NewAdultHIV,2013,2,intervention,321258
2025,NewAdultHIV,2013,2,baseline,321258
2025,NewAdultHIV,2014,1,intervention,309317
2025,NewAdultHIV,2014,1,baseline,309317
2025,NewAdultHIV,2014,2,intervention,303591
2025,NewAdultHIV,2014,2,baseline,303591
2025,NewAdultHIV,2015,1,intervention,295183
2025,NewAdultHIV,2015,1,baseline,295183
2025,NewAdultHIV,2015,2,intervention,289399
2025,NewAdultHIV,2015,2,baseline,289399
2025,NewAdultHIV,2016,1,intervention,272728
2025,NewAdultHIV,2016,1,baseline,272728
2025,NewAdultHIV,2016,2,intervention,267396
2025,NewAdultHIV,2016,2,baseline,267396
2025,NewAdultHIV,2017,1,intervention,244465
2025,NewAdultHIV,2017,1,baseline,244465
2025,NewAdultHIV,2017,2,intervention,240531
2025,NewAdultHIV,2017,2,baseline,240531
2025,NewAdultHIV,2018,1,intervention,225126
2025,NewAdultHIV,2018,1,baseline,225126
2025,NewAdultHIV,2018,2,intervention,222338
2025,NewAdultHIV,2018,2,baseline,222338
2025,NewAdultHIV,2019,1,intervention,206336
2025,NewAdultHIV,2019,1,baseline,206336
2025,NewAdultHIV,2019,2,intervention,204897
2025,NewAdultHIV,2019,2,baseline,204897
2025,NewAdultHIV,2020,1,intervention,196554
2025,NewAdultHIV,2020,1,baseline,196554
2025,NewAdultHIV,2020,2,intervention,196135
2025,NewAdultHIV,2020,2,baseline,196135
2025,NewAdultHIV,2021,1,intervention,185540
2025,NewAdultHIV,2021,1,baseline,185540
2025,NewAdultHIV,2021,2,intervention,184770
2025,NewAdultHIV,2021,2,baseline,184770
2025,NewAdultHIV,2022,1,intervention,176236
2025,NewAdultHIV,2022,1,baseline,176236
2025,NewAdultHIV,2022,2,intervention,174825
2025,NewAdultHIV,2022,2,baseline,174825
2025,NewAdultHIV,2023,1,intervention,167496
2025,NewAdultHIV,2023,1,baseline,167496
2025,NewAdultHIV,2023,2,intervention,165048
2025,NewAdultHIV,2023,2,baseline,165048
2025,NewAdultHIV,2024,1,intervention,162615
2025,NewAdultHIV,2024,1,baseline,162615
2025,NewAdultHIV,2024,2,intervention,159944
2025,NewAdultHIV,2024,2,baseline,159944
2025,NewAdultHIV,2025,1,intervention,160974
2025,NewAdultHIV,2025,1,baseline,158320
2025,NewAdultHIV,2025,2,intervention,157731
2025,NewAdultHIV,2025,2,baseline,155498
2025,NewAdultHIV,2026,1,intervention,162149
2025,NewAdultHIV,2026,1,baseline,154339
2025,NewAdultHIV,2026,2,intervention,158098
2025,NewAdultHIV,2026,2,baseline,151343
2025,NewAdultHIV,2027,1,intervention,163310
2025,NewAdultHIV,2027,1,baseline,150408
2025,NewAdultHIV,2027,2,intervention,158475
2025,NewAdultHIV,2027,2,baseline,147204
2025,NewAdultHIV,2028,1,intervention,164171
2025,NewAdultHIV,2028,1,baseline,146308
2025,NewAdultHIV,2028,2,intervention,158563
2025,NewAdultHIV,2028,2,baseline,142890
2025,NewAdultHIV,2029,1,intervention,164721
2025,NewAdultHIV,2029,1,baseline,142052
2025,NewAdultHIV,2029,2,intervention,158322
2025,NewAdultHIV,2029,2,baseline,138429
2025,NewAdultHIV,2030,1,intervention,164953
2025,NewAdultHIV,2030,1,baseline,137714
2025,NewAdultHIV,2030,2,intervention,157752
2025,NewAdultHIV,2030,2,baseline,133894
2025,NewAdultHIV,2031,1,intervention,164825
2025,NewAdultHIV,2031,1,baseline,133328
2025,NewAdultHIV,2031,2,intervention,156826
2025,NewAdultHIV,2031,2,baseline,129323
2025,NewAdultHIV,2032,1,intervention,164311
2025,NewAdultHIV,2032,1,baseline,128910
2025,NewAdultHIV,2032,2,intervention,155531
2025,NewAdultHIV,2032,2,baseline,124732
2025,NewAdultHIV,2033,1,intervention,163437
2025,NewAdultHIV,2033,1,baseline,124490
2025,NewAdultHIV,2033,2,intervention,153905
2025,NewAdultHIV,2033,2,baseline,120158
2025,NewAdultHIV,2034,1,intervention,162263
2025,NewAdultHIV,2034,1,baseline,120114
2025,NewAdultHIV,2034,2,intervention,152015
2025,NewAdultHIV,2034,2,baseline,115652
2025,NewAdultHIV,2035,1,intervention,160845
2025,NewAdultHIV,2035,1,baseline,115820
2025,NewAdultHIV,2035,2,intervention,149925
2025,NewAdultHIV,2035,2,baseline,111255
2025,NewAdultHIV,2036,1,intervention,159227
2025,NewAdultHIV,2036,1,baseline,111632
2025,NewAdultHIV,2036,2,intervention,147678
2025,NewAdultHIV,2036,2,baseline,106987
2025,NewAdultHIV,2037,1,intervention,157444
2025,NewAdultHIV,2037,1,baseline,107562
2025,NewAdultHIV,2037,2,intervention,145308
2025,NewAdultHIV,2037,2,baseline,102859
2025,NewAdultHIV,2038,1,intervention,155533
2025,NewAdultHIV,2038,1,baseline,103624
2025,NewAdultHIV,2038,2,intervention,142851
2025,NewAdultHIV,2038,2,baseline,98880.8
2025,NewAdultHIV,2039,1,intervention,153534
2025,NewAdultHIV,2039,1,baseline,99828.8
2025,NewAdultHIV,2039,2,intervention,140345
2025,NewAdultHIV,2039,2,baseline,95061.3
2025,NewAdultHIV,2040,1,intervention,151484
