"intervention_year","year","parameter_set","scenario","indicator","value"
"2040",1986,1,"intervention","TotalAIDSdeathsadult",23.8906
"2040",1986,1,"intervention","CondomUsage",2.96615485441438
"2040",1986,1,"intervention","FSWCondomUsage",14.5845971992243
"2040",1986,1,"intervention","PctSexActsSW",13.6911337889711
"2040",1986,1,"intervention","PctProtSexActsSW",67.319368446209
"2040",1986,1,"baseline","TotalHIVtests",35.0675
"2040",1986,1,"baseline","NewAdultHIV",8400.61
"2040",1986,1,"baseline","AIDSdeathsAdultM",12.2186
"2040",1986,1,"baseline","AIDSdeathsAdultF",11.672
"2040",1986,1,"baseline","TotSexActs",299068000
"2040",1986,1,"baseline","SWsexActs",40945800
"2040",1986,1,"baseline","TotProtSexActs",8870820
"2040",1986,1,"baseline","SWsexActsProt",5971780
"2040",1986,1,"baseline","TotalAIDSdeathsadult",23.8906
"2040",1986,1,"baseline","CondomUsage",2.96615485441438
"2040",1986,1,"baseline","FSWCondomUsage",14.5845971992243
"2040",1986,1,"baseline","PctSexActsSW",13.6911337889711
"2040",1986,1,"baseline","PctProtSexActsSW",67.319368446209
"2040",1986,2,"intervention","TotalHIVtests",41.1358
"2040",1986,2,"intervention","NewAdultHIV",10436.9
"2040",1986,2,"intervention","AIDSdeathsAdultM",12.4572
"2040",1986,2,"intervention","AIDSdeathsAdultF",11.8916
"2040",1986,2,"intervention","TotSexActs",290780000
"2040",1986,2,"intervention","SWsexActs",40945700
"2040",1986,2,"intervention","TotProtSexActs",8556680
"2040",1986,2,"intervention","SWsexActsProt",5826570
"2040",1986,2,"intervention","TotalAIDSdeathsadult",24.3488
"2040",1986,2,"intervention","CondomUsage",2.94266455739734
"2040",1986,2,"intervention","FSWCondomUsage",14.2299924045748
"2040",1986,2,"intervention","PctSexActsSW",14.0813329665039
"2040",1986,2,"intervention","PctProtSexActsSW",68.0938167607063
"2040",1986,2,"baseline","TotalHIVtests",41.1358
"2040",1986,2,"baseline","NewAdultHIV",10436.9
"2040",1986,2,"baseline","AIDSdeathsAdultM",12.4572
"2040",1986,2,"baseline","AIDSdeathsAdultF",11.8916
"2040",1986,2,"baseline","TotSexActs",290780000
"2040",1986,2,"baseline","SWsexActs",40945700
"2040",1986,2,"baseline","TotProtSexActs",8556680
"2040",1986,2,"baseline","SWsexActsProt",5826570
"2040",1986,2,"baseline","TotalAIDSdeathsadult",24.3488
"2040",1986,2,"baseline","CondomUsage",2.94266455739734
"2040",1986,2,"baseline","FSWCondomUsage",14.2299924045748
"2040",1986,2,"baseline","PctSexActsSW",14.0813329665039
"2040",1986,2,"baseline","PctProtSexActsSW",68.0938167607063
"2040",1987,1,"intervention","TotalHIVtests",98.9796
"2040",1987,1,"intervention","NewAdultHIV",20992.4
"2040",1987,1,"intervention","AIDSdeathsAdultM",49.177
"2040",1987,1,"intervention","AIDSdeathsAdultF",40.6038
"2040",1987,1,"intervention","TotSexActs",306260000
"2040",1987,1,"intervention","SWsexActs",42325900
"2040",1987,1,"intervention","TotProtSexActs",9147680
"2040",1987,1,"intervention","SWsexActsProt",6173190
"2040",1987,1,"intervention","TotalAIDSdeathsadult",89.7808
"2040",1987,1,"intervention","CondomUsage",2.9869000195912
"2040",1987,1,"intervention","FSWCondomUsage",14.5848995532286
"2040",1987,1,"intervention","PctSexActsSW",13.8202507673219
"2040",1987,1,"intervention","PctProtSexActsSW",67.4836679901352
"2040",1987,1,"baseline","TotalHIVtests",98.9796
"2040",1987,1,"baseline","NewAdultHIV",20992.4
"2040",1987,1,"baseline","AIDSdeathsAdultM",49.177
"2040",1987,1,"baseline","AIDSdeathsAdultF",40.6038
"2040",1987,1,"baseline","TotSexActs",306260000
"2040",1987,1,"baseline","SWsexActs",42325900
"2040",1987,1,"baseline","TotProtSexActs",9147680
"2040",1987,1,"baseline","SWsexActsProt",6173190
"2040",1987,1,"baseline","TotalAIDSdeathsadult",89.7808
"2040",1987,1,"baseline","CondomUsage",2.9869000195912
"2040",1987,1,"baseline","FSWCondomUsage",14.5848995532286
"2040",1987,1,"baseline","PctSexActsSW",13.8202507673219
"2040",1987,1,"baseline","PctProtSexActsSW",67.4836679901352
"2040",1987,2,"intervention","TotalHIVtests",118.733
"2040",1987,2,"intervention","NewAdultHIV",26680.3
"2040",1987,2,"intervention","AIDSdeathsAdultM",50.8951
"2040",1987,2,"intervention","AIDSdeathsAdultF",41.6065
"2040",1987,2,"intervention","TotSexActs",297920000
"2040",1987,2,"intervention","SWsexActs",42325200
"2040",1987,2,"intervention","TotProtSexActs",8822320
"2040",1987,2,"intervention","SWsexActsProt",6023000
"2040",1987,2,"intervention","TotalAIDSdeathsadult",92.5016
"2040",1987,2,"intervention","CondomUsage",2.96130504833512
"2040",1987,2,"intervention","FSWCondomUsage",14.2302930641793
"2040",1987,2,"intervention","PctSexActsSW",14.2069011815252
"2040",1987,2,"intervention","PctProtSexActsSW",68.2700242113186
"2040",1987,2,"baseline","TotalHIVtests",118.733
"2040",1987,2,"baseline","NewAdultHIV",26680.3
"2040",1987,2,"baseline","AIDSdeathsAdultM",50.8951
"2040",1987,2,"baseline","AIDSdeathsAdultF",41.6065
"2040",1987,2,"baseline","TotSexActs",297920000
"2040",1987,2,"baseline","SWsexActs",42325200
"2040",1987,2,"baseline","TotProtSexActs",8822320
"2040",1987,2,"baseline","SWsexActsProt",6023000
"2040",1987,2,"baseline","TotalAIDSdeathsadult",92.5016
"2040",1987,2,"baseline","CondomUsage",2.96130504833512
"2040",1987,2,"baseline","FSWCondomUsage",14.2302930641793
"2040",1987,2,"baseline","PctSexActsSW",14.2069011815252
"2040",1987,2,"baseline","PctProtSexActsSW",68.2700242113186
"2040",1988,1,"intervention","TotalHIVtests",246.951
"2040",1988,1,"intervention","NewAdultHIV",41866.3
"2040",1988,1,"intervention","AIDSdeathsAdultM",154.528
"2040",1988,1,"intervention","AIDSdeathsAdultF",111.001
"2040",1988,1,"intervention","TotSexActs",313630000
"2040",1988,1,"intervention","SWsexActs",43732000
"2040",1988,1,"intervention","TotProtSexActs",9433240
"2040",1988,1,"intervention","SWsexActsProt",6379860
"2040",1988,1,"intervention","TotalAIDSdeathsadult",265.529
"2040",1988,1,"intervention","CondomUsage",3.00776073717438
"2040",1988,1,"intervention","FSWCondomUsage",14.5885392847343
"2040",1988,1,"intervention","PctSexActsSW",13.9438191499538
"2040",1988,1,"intervention","PctProtSexActsSW",67.6316938824836
"2040",1988,1,"baseline","TotalHIVtests",246.951
"2040",1988,1,"baseline","NewAdultHIV",41866.3
"2040",1988,1,"baseline","AIDSdeathsAdultM",154.528
"2040",1988,1,"baseline","AIDSdeathsAdultF",111.001
"2040",1988,1,"baseline","TotSexActs",313630000
"2040",1988,1,"baseline","SWsexActs",43732000
"2040",1988,1,"baseline","TotProtSexActs",9433240
"2040",1988,1,"baseline","SWsexActsProt",6379860
"2040",1988,1,"baseline","TotalAIDSdeathsadult",265.529
"2040",1988,1,"baseline","CondomUsage",3.00776073717438
"2040",1988,1,"baseline","FSWCondomUsage",14.5885392847343
"2040",1988,1,"baseline","PctSexActsSW",13.9438191499538
"2040",1988,1,"baseline","PctProtSexActsSW",67.6316938824836
"2040",1988,2,"intervention","TotalHIVtests",300.041
"2040",1988,2,"intervention","NewAdultHIV",52708.1
"2040",1988,2,"intervention","AIDSdeathsAdultM",164.042
"2040",1988,2,"intervention","AIDSdeathsAdultF",115.021
"2040",1988,2,"intervention","TotSexActs",305218000
"2040",1988,2,"intervention","SWsexActs",43729500
"2040",1988,2,"intervention","TotProtSexActs",9096510
"2040",1988,2,"intervention","SWsexActsProt",6224390
"2040",1988,2,"intervention","TotalAIDSdeathsadult",279.063
"2040",1988,2,"intervention","CondomUsage",2.9803320905058
"2040",1988,2,"intervention","FSWCondomUsage",14.2338467167473
"2040",1988,2,"intervention","PctSexActsSW",14.3273004868651
"2040",1988,2,"intervention","PctProtSexActsSW",68.4261326596684
"2040",1988,2,"baseline","TotalHIVtests",300.041
"2040",1988,2,"baseline","NewAdultHIV",52708.1
"2040",1988,2,"baseline","AIDSdeathsAdultM",164.042
"2040",1988,2,"baseline","AIDSdeathsAdultF",115.021
"2040",1988,2,"baseline","TotSexActs",305218000
"2040",1988,2,"baseline","SWsexActs",43729500
"2040",1988,2,"baseline","TotProtSexActs",9096510
"2040",1988,2,"baseline","SWsexActsProt",6224390
"2040",1988,2,"baseline","TotalAIDSdeathsadult",279.063
"2040",1988,2,"baseline","CondomUsage",2.9803320905058
"2040",1988,2,"baseline","FSWCondomUsage",14.2338467167473
"2040",1988,2,"baseline","PctSexActsSW",14.3273004868651
"2040",1988,2,"baseline","PctProtSexActsSW",68.4261326596684
"2040",1989,1,"intervention","TotalHIVtests",543.002
"2040",1989,1,"intervention","NewAdultHIV",70972.4
"2040",1989,1,"intervention","AIDSdeathsAdultM",415.693
"2040",1989,1,"intervention","AIDSdeathsAdultF",276.467
"2040",1989,1,"intervention","TotSexActs",321212000
"2040",1989,1,"intervention","SWsexActs",45165800
"2040",1989,1,"intervention","TotProtSexActs",9737430
"2040",1989,1,"intervention","SWsexActsProt",6598050
"2040",1989,1,"intervention","TotalAIDSdeathsadult",692.16
"2040",1989,1,"intervention","CondomUsage",3.03146520055291
"2040",1989,1,"intervention","FSWCondomUsage",14.6085090931634
"2040",1989,1,"intervention","PctSexActsSW",14.0610562494552
"2040",1989,1,"intervention","PctProtSexActsSW",67.7596655380321
"2040",1989,1,"baseline","TotalHIVtests",543.002
"2040",1989,1,"baseline","NewAdultHIV",70972.4
"2040",1989,1,"baseline","AIDSdeathsAdultM",415.693
"2040",1989,1,"baseline","AIDSdeathsAdultF",276.467
"2040",1989,1,"baseline","TotSexActs",321212000
"2040",1989,1,"baseline","SWsexActs",45165800
"2040",1989,1,"baseline","TotProtSexActs",9737430
"2040",1989,1,"baseline","SWsexActsProt",6598050
"2040",1989,1,"baseline","TotalAIDSdeathsadult",692.16
"2040",1989,1,"baseline","CondomUsage",3.03146520055291
"2040",1989,1,"baseline","FSWCondomUsage",14.6085090931634
"2040",1989,1,"baseline","PctSexActsSW",14.0610562494552
"2040",1989,1,"baseline","PctProtSexActsSW",67.7596655380321
"2040",1989,2,"intervention","TotalHIVtests",658.718
"2040",1989,2,"intervention","NewAdultHIV",86241.7
"2040",1989,2,"intervention","AIDSdeathsAdultM",451.717
"2040",1989,2,"intervention","AIDSdeathsAdultF",289.9
"2040",1989,2,"intervention","TotSexActs",312701000
"2040",1989,2,"intervention","SWsexActs",45157800
"2040",1989,2,"intervention","TotProtSexActs",9388360
"2040",1989,2,"intervention","SWsexActsProt",6436520
"2040",1989,2,"intervention","TotalAIDSdeathsadult",741.617
"2040",1989,2,"intervention","CondomUsage",3.00234409227985
"2040",1989,2,"intervention","FSWCondomUsage",14.2533958695951
"2040",1989,2,"intervention","PctSexActsSW",14.4412074153904
"2040",1989,2,"intervention","PctProtSexActsSW",68.5585128819091
"2040",1989,2,"baseline","TotalHIVtests",658.718
"2040",1989,2,"baseline","NewAdultHIV",86241.7
"2040",1989,2,"baseline","AIDSdeathsAdultM",451.717
"2040",1989,2,"baseline","AIDSdeathsAdultF",289.9
"2040",1989,2,"baseline","TotSexActs",312701000
"2040",1989,2,"baseline","SWsexActs",45157800
"2040",1989,2,"baseline","TotProtSexActs",9388360
"2040",1989,2,"baseline","SWsexActsProt",6436520
"2040",1989,2,"baseline","TotalAIDSdeathsadult",741.617
"2040",1989,2,"baseline","CondomUsage",3.00234409227985
"2040",1989,2,"baseline","FSWCondomUsage",14.2533958695951
"2040",1989,2,"baseline","PctSexActsSW",14.4412074153904
"2040",1989,2,"baseline","PctProtSexActsSW",68.5585128819091
"2040",1990,1,"intervention","TotalHIVtests",1072.18
"2040",1990,1,"intervention","NewAdultHIV",107794
"2040",1990,1,"intervention","AIDSdeathsAdultM",971.649
"2040",1990,1,"intervention","AIDSdeathsAdultF",636.17
"2040",1990,1,"intervention","TotSexActs",328977000
"2040",1990,1,"intervention","SWsexActs",46602800
"2040",1990,1,"intervention","TotProtSexActs",10083500
"2040",1990,1,"intervention","SWsexActsProt",6841820
"2040",1990,1,"intervention","TotalAIDSdeathsadult",1607.819
"2040",1990,1,"intervention","CondomUsage",3.06510789508081
"2040",1990,1,"intervention","FSWCondomUsage",14.6811350390964
"2040",1990,1,"intervention","PctSexActsSW",14.1659751289604
"2040",1990,1,"intervention","PctProtSexActsSW",67.8516388158873
"2040",1990,1,"baseline","TotalHIVtests",1072.18
"2040",1990,1,"baseline","NewAdultHIV",107794
"2040",1990,1,"baseline","AIDSdeathsAdultM",971.649
"2040",1990,1,"baseline","AIDSdeathsAdultF",636.17
"2040",1990,1,"baseline","TotSexActs",328977000
"2040",1990,1,"baseline","SWsexActs",46602800
"2040",1990,1,"baseline","TotProtSexActs",10083500
"2040",1990,1,"baseline","SWsexActsProt",6841820
"2040",1990,1,"baseline","TotalAIDSdeathsadult",1607.819
"2040",1990,1,"baseline","CondomUsage",3.06510789508081
"2040",1990,1,"baseline","FSWCondomUsage",14.6811350390964
"2040",1990,1,"baseline","PctSexActsSW",14.1659751289604
"2040",1990,1,"baseline","PctProtSexActsSW",67.8516388158873
"2040",1990,2,"intervention","TotalHIVtests",1284.41
"2040",1990,2,"intervention","NewAdultHIV",125021
"2040",1990,2,"intervention","AIDSdeathsAdultM",1070.41
"2040",1990,2,"intervention","AIDSdeathsAdultF",671.574
"2040",1990,2,"intervention","TotSexActs",320335000
"2040",1990,2,"intervention","SWsexActs",46582700
"2040",1990,2,"intervention","TotProtSexActs",9719610
"2040",1990,2,"intervention","SWsexActsProt",6672750
"2040",1990,2,"intervention","TotalAIDSdeathsadult",1741.984
"2040",1990,2,"intervention","CondomUsage",3.03420169510044
"2040",1990,2,"intervention","FSWCondomUsage",14.3245239112374
"2040",1990,2,"intervention","PctSexActsSW",14.5418702296034
"2040",1990,2,"intervention","PctProtSexActsSW",68.6524459314726
"2040",1990,2,"baseline","TotalHIVtests",1284.41
"2040",1990,2,"baseline","NewAdultHIV",125021
"2040",1990,2,"baseline","AIDSdeathsAdultM",1070.41
"2040",1990,2,"baseline","AIDSdeathsAdultF",671.574
"2040",1990,2,"baseline","TotSexActs",320335000
"2040",1990,2,"baseline","SWsexActs",46582700
"2040",1990,2,"baseline","TotProtSexActs",9719610
"2040",1990,2,"baseline","SWsexActsProt",6672750
"2040",1990,2,"baseline","TotalAIDSdeathsadult",1741.984
"2040",1990,2,"baseline","CondomUsage",3.03420169510044
"2040",1990,2,"baseline","FSWCondomUsage",14.3245239112374
"2040",1990,2,"baseline","PctSexActsSW",14.5418702296034
"2040",1990,2,"baseline","PctProtSexActsSW",68.6524459314726
"2040",1991,1,"intervention","TotalHIVtests",126787
"2040",1991,1,"intervention","NewAdultHIV",153796
"2040",1991,1,"intervention","AIDSdeathsAdultM",2002.24
"2040",1991,1,"intervention","AIDSdeathsAdultF",1356.14
"2040",1991,1,"intervention","TotSexActs",339706000
"2040",1991,1,"intervention","SWsexActs",48014900
"2040",1991,1,"intervention","TotProtSexActs",10564000
"2040",1991,1,"intervention","SWsexActsProt",7147540
"2040",1991,1,"intervention","TotalAIDSdeathsadult",3358.38
"2040",1991,1,"intervention","CondomUsage",3.10974784077997
"2040",1991,1,"intervention","FSWCondomUsage",14.8860874436894
"2040",1991,1,"intervention","PctSexActsSW",14.1342513820774
"2040",1991,1,"intervention","PctProtSexActsSW",67.6594093146535
"2040",1991,1,"baseline","TotalHIVtests",126787
"2040",1991,1,"baseline","NewAdultHIV",153796
"2040",1991,1,"baseline","AIDSdeathsAdultM",2002.24
"2040",1991,1,"baseline","AIDSdeathsAdultF",1356.14
"2040",1991,1,"baseline","TotSexActs",339706000
"2040",1991,1,"baseline","SWsexActs",48014900
"2040",1991,1,"baseline","TotProtSexActs",10564000
"2040",1991,1,"baseline","SWsexActsProt",7147540
"2040",1991,1,"baseline","TotalAIDSdeathsadult",3358.38
"2040",1991,1,"baseline","CondomUsage",3.10974784077997
"2040",1991,1,"baseline","FSWCondomUsage",14.8860874436894
"2040",1991,1,"baseline","PctSexActsSW",14.1342513820774
"2040",1991,1,"baseline","PctProtSexActsSW",67.6594093146535
"2040",1991,2,"intervention","TotalHIVtests",126589
"2040",1991,2,"intervention","NewAdultHIV",170423
"2040",1991,2,"intervention","AIDSdeathsAdultM",2212.37
"2040",1991,2,"intervention","AIDSdeathsAdultF",1431.09
"2040",1991,2,"intervention","TotSexActs",330809000
"2040",1991,2,"intervention","SWsexActs",47973700
"2040",1991,2,"intervention","TotProtSexActs",10178000
"2040",1991,2,"intervention","SWsexActsProt",6968290
"2040",1991,2,"intervention","TotalAIDSdeathsadult",3643.46
"2040",1991,2,"intervention","CondomUsage",3.07669984794851
"2040",1991,2,"intervention","FSWCondomUsage",14.5252294486354
"2040",1991,2,"intervention","PctSexActsSW",14.5019331396667
"2040",1991,2,"intervention","PctProtSexActsSW",68.4642365887208
"2040",1991,2,"baseline","TotalHIVtests",126589
"2040",1991,2,"baseline","NewAdultHIV",170423
"2040",1991,2,"baseline","AIDSdeathsAdultM",2212.37
"2040",1991,2,"baseline","AIDSdeathsAdultF",1431.09
"2040",1991,2,"baseline","TotSexActs",330809000
"2040",1991,2,"baseline","SWsexActs",47973700
"2040",1991,2,"baseline","TotProtSexActs",10178000
"2040",1991,2,"baseline","SWsexActsProt",6968290
"2040",1991,2,"baseline","TotalAIDSdeathsadult",3643.46
"2040",1991,2,"baseline","CondomUsage",3.07669984794851
"2040",1991,2,"baseline","FSWCondomUsage",14.5252294486354
"2040",1991,2,"baseline","PctSexActsSW",14.5019331396667
"2040",1991,2,"baseline","PctProtSexActsSW",68.4642365887208
"2040",1992,1,"intervention","TotalHIVtests",253789
"2040",1992,1,"intervention","NewAdultHIV",208215
"2040",1992,1,"intervention","AIDSdeathsAdultM",3749.29
"2040",1992,1,"intervention","AIDSdeathsAdultF",2658.89
"2040",1992,1,"intervention","TotSexActs",351297000
"2040",1992,1,"intervention","SWsexActs",49373100
"2040",1992,1,"intervention","TotProtSexActs",11274400
"2040",1992,1,"intervention","SWsexActsProt",7589180
"2040",1992,1,"intervention","TotalAIDSdeathsadult",6408.18
"2040",1992,1,"intervention","CondomUsage",3.20936415625525
"2040",1992,1,"intervention","FSWCondomUsage",15.3710826340659
"2040",1992,1,"intervention","PctSexActsSW",14.0545179719724
"2040",1992,1,"intervention","PctProtSexActsSW",67.3133825303342
"2040",1992,1,"baseline","TotalHIVtests",253789
"2040",1992,1,"baseline","NewAdultHIV",208215
"2040",1992,1,"baseline","AIDSdeathsAdultM",3749.29
"2040",1992,1,"baseline","AIDSdeathsAdultF",2658.89
"2040",1992,1,"baseline","TotSexActs",351297000
"2040",1992,1,"baseline","SWsexActs",49373100
"2040",1992,1,"baseline","TotProtSexActs",11274400
"2040",1992,1,"baseline","SWsexActsProt",7589180
"2040",1992,1,"baseline","TotalAIDSdeathsadult",6408.18
"2040",1992,1,"baseline","CondomUsage",3.20936415625525
"2040",1992,1,"baseline","FSWCondomUsage",15.3710826340659
"2040",1992,1,"baseline","PctSexActsSW",14.0545179719724
"2040",1992,1,"baseline","PctProtSexActsSW",67.3133825303342
"2040",1992,2,"intervention","TotalHIVtests",253068
"2040",1992,2,"intervention","NewAdultHIV",222238
"2040",1992,2,"intervention","AIDSdeathsAdultM",4119.68
"2040",1992,2,"intervention","AIDSdeathsAdultF",2787.59
"2040",1992,2,"intervention","TotSexActs",342077000
"2040",1992,2,"intervention","SWsexActs",49301400
"2040",1992,2,"intervention","TotProtSexActs",10855800
"2040",1992,2,"intervention","SWsexActsProt",7395330
"2040",1992,2,"intervention","TotalAIDSdeathsadult",6907.27
"2040",1992,2,"intervention","CondomUsage",3.17349602574859
"2040",1992,2,"intervention","FSWCondomUsage",15.0002434007959
"2040",1992,2,"intervention","PctSexActsSW",14.4123691449586
"2040",1992,2,"intervention","PctProtSexActsSW",68.1233073564362
"2040",1992,2,"baseline","TotalHIVtests",253068
"2040",1992,2,"baseline","NewAdultHIV",222238
"2040",1992,2,"baseline","AIDSdeathsAdultM",4119.68
"2040",1992,2,"baseline","AIDSdeathsAdultF",2787.59
"2040",1992,2,"baseline","TotSexActs",342077000
"2040",1992,2,"baseline","SWsexActs",49301400
"2040",1992,2,"baseline","TotProtSexActs",10855800
"2040",1992,2,"baseline","SWsexActsProt",7395330
"2040",1992,2,"baseline","TotalAIDSdeathsadult",6907.27
"2040",1992,2,"baseline","CondomUsage",3.17349602574859
"2040",1992,2,"baseline","FSWCondomUsage",15.0002434007959
"2040",1992,2,"baseline","PctSexActsSW",14.4123691449586
"2040",1992,2,"baseline","PctProtSexActsSW",68.1233073564362
"2040",1993,1,"intervention","TotalHIVtests",381111
"2040",1993,1,"intervention","NewAdultHIV",266297
"2040",1993,1,"intervention","AIDSdeathsAdultM",6429.37
"2040",1993,1,"intervention","AIDSdeathsAdultF",4824.08
"2040",1993,1,"intervention","TotSexActs",363476000
"2040",1993,1,"intervention","SWsexActs",51348000
"2040",1993,1,"intervention","TotProtSexActs",12522900
"2040",1993,1,"intervention","SWsexActsProt",8408640
"2040",1993,1,"intervention","TotalAIDSdeathsadult",11253.45
"2040",1993,1,"intervention","CondomUsage",3.44531688474617
"2040",1993,1,"intervention","FSWCondomUsage",16.3757887356859
"2040",1993,1,"intervention","PctSexActsSW",14.1269299761195
"2040",1993,1,"intervention","PctProtSexActsSW",67.1461083295403
"2040",1993,1,"baseline","TotalHIVtests",381111
"2040",1993,1,"baseline","NewAdultHIV",266297
"2040",1993,1,"baseline","AIDSdeathsAdultM",6429.37
"2040",1993,1,"baseline","AIDSdeathsAdultF",4824.08
"2040",1993,1,"baseline","TotSexActs",363476000
"2040",1993,1,"baseline","SWsexActs",51348000
"2040",1993,1,"baseline","TotProtSexActs",12522900
"2040",1993,1,"baseline","SWsexActsProt",8408640
"2040",1993,1,"baseline","TotalAIDSdeathsadult",11253.45
"2040",1993,1,"baseline","CondomUsage",3.44531688474617
"2040",1993,1,"baseline","FSWCondomUsage",16.3757887356859
"2040",1993,1,"baseline","PctSexActsSW",14.1269299761195
"2040",1993,1,"baseline","PctProtSexActsSW",67.1461083295403
"2040",1993,2,"intervention","TotalHIVtests",379657
"2040",1993,2,"intervention","NewAdultHIV",276332
"2040",1993,2,"intervention","AIDSdeathsAdultM",6982.23
"2040",1993,2,"intervention","AIDSdeathsAdultF",5002.58
"2040",1993,2,"intervention","TotSexActs",353884000
"2040",1993,2,"intervention","SWsexActs",51236900
"2040",1993,2,"intervention","TotProtSexActs",12050900
"2040",1993,2,"intervention","SWsexActsProt",8190040
"2040",1993,2,"intervention","TotalAIDSdeathsadult",11984.81
"2040",1993,2,"intervention","CondomUsage",3.40532490872715
"2040",1993,2,"intervention","FSWCondomUsage",15.9846516865774
"2040",1993,2,"intervention","PctSexActsSW",14.4784449141527
"2040",1993,2,"intervention","PctProtSexActsSW",67.9620609249102
"2040",1993,2,"baseline","TotalHIVtests",379657
"2040",1993,2,"baseline","NewAdultHIV",276332
"2040",1993,2,"baseline","AIDSdeathsAdultM",6982.23
"2040",1993,2,"baseline","AIDSdeathsAdultF",5002.58
"2040",1993,2,"baseline","TotSexActs",353884000
"2040",1993,2,"baseline","SWsexActs",51236900
"2040",1993,2,"baseline","TotProtSexActs",12050900
"2040",1993,2,"baseline","SWsexActsProt",8190040
"2040",1993,2,"baseline","TotalAIDSdeathsadult",11984.81
"2040",1993,2,"baseline","CondomUsage",3.40532490872715
"2040",1993,2,"baseline","FSWCondomUsage",15.9846516865774
"2040",1993,2,"baseline","PctSexActsSW",14.4784449141527
"2040",1993,2,"baseline","PctProtSexActsSW",67.9620609249102
"2040",1994,1,"intervention","TotalHIVtests",508580
"2040",1994,1,"intervention","NewAdultHIV",322956
"2040",1994,1,"intervention","AIDSdeathsAdultM",10254.8
"2040",1994,1,"intervention","AIDSdeathsAdultF",8178.76
"2040",1994,1,"intervention","TotSexActs",375503000
"2040",1994,1,"intervention","SWsexActs",53266100
"2040",1994,1,"intervention","TotProtSexActs",14550000
"2040",1994,1,"intervention","SWsexActsProt",9715210
"2040",1994,1,"intervention","TotalAIDSdeathsadult",18433.56
"2040",1994,1,"intervention","CondomUsage",3.87480259811506
